" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"2","1","2012","Sony","$140,450","-54.6%","38","-","$3,696","$1,147,317","3","Unknown"
"3","2","A Christmas Carol (2009)","Disney","$69,195","-46.4%","44","-","$1,573","$846,172","4","Unknown"
"4","-","Planet 51","n/a","$34,357","-","18","-","$1,909","$94,964","2","Unknown"
"5","3","The Uninvited","UIP","$21,674","-51.3%","22","-","$985","$85,422","2","USA"
"6","14","Orphan","Importadora","$14,272","+497.9%","9","+7","$1,586","$70,096","8","Unknown"
"7","8"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$3,101","-35.9%","4","-","$775","$155,818","8","Unknown"
"8","4","My Sister's Keeper","Importadora","$3,056","-76.7%","9","-","$340","$102,478","9","Unknown"
"9","5","Ghosts of Girlfriends Past","Importadora","$2,199","-73.5%","9","-","$244","$109,824","9","USA"
"10","10","Whiteout","Importadora","$1,226","-72.6%","9","+3","$136","$51,157","4","Unknown"
"11","12"," El Ratón Pérez 2","Importadora","$1,206","-71.0%","15","-","$80","$131,565","5","Argentina, Spain"
"12","-","Pride & Glory","Importadora","$1,168","-","7","-","$167","$9,202","2","USA"
"13","17"," Un Novio para mi mujer","Importadora","$889","-28.2%","2","-1","$445","$20,518","4","Argentina"
"14","-","Julie & Julia","Sony","$747","-","2","-","$374","$48,706","9","Unknown"
"15","19"," Cloudy with a Chance of Meatballs","Sony","$160","-53.9%","2","-5","$80","$537,642","11","Unknown"
"16","13","The Final Destination","Importadora","$79","-96.7%","1","-4","$79","$560,257","7","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","2012","Sony","$309,555","-9.8%","38","-","$8,146","$872,050","2","Unknown"
"2","2","A Christmas Carol (2009)","Disney","$129,182","-36.8%","44","-","$2,936","$747,104","3","Unknown"
"3","N","The Uninvited","UIP","$44,493","-","22","-","$2,022","$44,493","1","USA"
"4","5","My Sister's Keeper","Importadora","$13,098","-12.7%","9","-","$1,455","$92,486","8","Unknown"
"5","4","Ghosts of Girlfriends Past","Importadora","$8,282","-45.2%","9","-","$920","$104,440","8","USA"
"6","3","Michael Jackson's This Is It","Sony","$6,422","-69.2%","21","-7","$306","$535,099","4","Unknown"
"7","6","Drag Me to Hell","UIP","$5,974","-45.8%","11","-1","$543","$195,624","4","USA"
"8","15"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$4,839","+402.5%","4","-4","$1,210","$151,338","7","Unknown"
"9","12","Push","n/a","$4,776","+12.4%","6","-6","$796","$34,262","3","USA"
"10","8","Whiteout","Importadora","$4,466","-57.4%","6","-3","$744","$48,525","3","Unknown"
"11","7","Saw VI","Disney","$4,403","-58.6%","12","-15","$367","$347,328","5","Unknown"
"12","9"," El Ratón Pérez 2","Importadora","$4,151","-51.6%","15","-","$277","$129,732","4","Argentina, Spain"
"13","10","The Final Destination","Importadora","$2,407","-66.0%","5","-5","$481","$559,402","6","Unknown"
"14","-","Orphan","Importadora","$2,387","-","2","-","$1,194","$54,577","7","Unknown"
"15","-","Balls of Fury","n/a","$1,491","-","4","-","$373","$6,043","2","USA"
"16","11","Imagine That","UIP","$1,239","-81.9%","6","-9","$207","$183,970","5","Germany, USA"
"17","13"," Un Novio para mi mujer","Importadora","$1,238","-63.5%","3","-4","$413","$19,374","3","Argentina"
"18","-","Shorts","Importadora","$586","-","1","-","$586","$189,673","9","Unknown"
