" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","My Bloody Valentine 3-D","n/a","$75,718","-","1","-","$75,718","$240,882","2","USA"
"2","N"," Tinker Bell and the Lost Treasure","Disney","$59,055","-","15","-","$3,937","$59,055","1","Unknown"
"3","1","G-Force","Disney","$42,558","-29.1%","47","-1","$905","$1,414,793","6","Unknown"
"4","2","The Taking of Pelham One, Two, Three","Sony","$31,342","-35.6%","23","-","$1,363","$109,916","2","UK, USA"
"5","4","The Hangover","Importadora","$23,654","-22.1%","15","-","$1,577","$137,968","3","USA"
"6","5","G.I. Joe","UIP","$18,889","-36.2%","26","-","$727","$595,778","5","Unknown"
"7","N","State of Play","UIP","$18,144","-","15","-","$1,210","$18,144","1","France, UK, USA"
"8","3","The Accidental Husband","Disney","$18,051","-46.1%","25","-","$722","$147,380","3","UK"
"9","-","Knowing","n/a","$16,799","-","22","-","$764","$130,551","3","Australia, USA"
"10","6","The Unborn (2009)","UIP","$8,319","-54.1%","21","-","$396","$198,769","4","USA"
"11","7","Public Enemies","UIP","$4,662","-66.9%","15","-","$311","$67,786","3","Unknown"
"12","8","Harry Potter and the Half Blood Prince","Importadora","$3,110","-52.1%","27","-6","$115","$1,189,812","8","Unknown"
"13","10","The Proposal","Disney","$2,785","-12.5%","4","-2","$696","$302,854","9","USA"
"14","11","The Time Traveler's Wife","Importadora","$2,133","-24.0%","8","-","$267","$41,781","4","Unknown"
"15","9","Ice Age: Dawn of the Dinosaurs","Fox","$1,077","-82.5%","15","-7","$72","$2,448,394","10","Unknown"
"16","12","12 Rounds","Fox","$646","-53.0%","7","-6","$92","$32,667","4","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G-Force","Disney","$60,018","-35.6%","48","-","$1,250","$1,342,780","5","Unknown"
"2","N","The Taking of Pelham One, Two, Three","Sony","$48,665","-","23","-","$2,116","$48,665","1","UK, USA"
"3","2","The Accidental Husband","Disney","$33,473","-29.5%","25","-","$1,339","$108,769","2","UK"
"4","4","The Hangover","Importadora","$30,347","-16.2%","15","-","$2,023","$92,391","2","USA"
"5","3","G.I. Joe","UIP","$29,604","-34.0%","26","-","$1,139","$560,542","4","Unknown"
"6","5","The Unborn (2009)","UIP","$18,106","-49.6%","21","-","$862","$170,202","3","USA"
"7","7","Public Enemies","UIP","$14,074","-33.1%","15","-","$938","$47,542","2","Unknown"
"8","9","Harry Potter and the Half Blood Prince","Importadora","$6,486","-23.9%","33","-11","$197","$1,183,768","7","Unknown"
"9","8","Ice Age: Dawn of the Dinosaurs","Fox","$6,165","-62.2%","22","-9","$280","$2,445,331","9","Unknown"
"10","12","The Proposal","Disney","$3,184","-8.8%","6","-","$531","$298,022","8","USA"
"11","10","The Time Traveler's Wife","Importadora","$2,805","-56.0%","8","-","$351","$37,218","3","Unknown"
"12","11","12 Rounds","Fox","$1,374","-69.4%","13","+1","$106","$31,468","3","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G-Force","Disney","$93,217","-39.0%","48","-","$1,942","$1,237,470","4","Unknown"
"2","N","The Accidental Husband","Disney","$47,474","-","25","-","$1,899","$47,474","1","UK"
"3","-","G.I. Joe","UIP","$44,835","-","26","-","$1,724","$504,965","3","Unknown"
"4","N","The Hangover","Importadora","$36,208","-","15","-","$2,414","$36,208","1","USA"
"5","2","The Unborn (2009)","UIP","$35,903","-35.7%","21","-","$1,710","$130,210","2","USA"
"6","N","Knowing","n/a","$26,270","-","18","-","$1,459","$26,270","1","Australia, USA"
"7","N","Public Enemies","UIP","$21,048","-","15","-","$1,403","$21,048","1","Unknown"
"8","3","Ice Age: Dawn of the Dinosaurs","Fox","$16,297","-25.4%","31","-4","$526","$2,431,912","8","Unknown"
"9","-","Harry Potter and the Half Blood Prince","Importadora","$8,524","-","44","-","$194","$1,172,800","6","Unknown"
"10","-","The Time Traveler's Wife","Importadora","$6,381","-","8","-","$798","$29,642","2","Unknown"
"11","4","12 Rounds","Fox","$4,494","-70.1%","12","-1","$375","$27,539","2","USA"
"12","8","The Proposal","Disney","$3,492","+63.9%","6","-1","$582","$292,396","7","USA"
"13","9","Up","Disney","$148","-51.3%","2","-3","$74","$1,111,755","11","USA"
"14","7","Transporter 3","n/a","$86","-98.7%","1","-11","$86","$33,965","3","France"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G-Force","Disney","$152,799","-31.0%","48","-","$3,183","$1,070,109","3","Unknown"
"2","N","The Unborn (2009)","UIP","$55,873","-","21","-","$2,661","$55,873","1","USA"
"3","3","Ice Age: Dawn of the Dinosaurs","Fox","$21,836","-51.0%","35","-5","$624","$2,404,774","7","Unknown"
"4","N","12 Rounds","Fox","$15,033","-","13","-","$1,156","$15,033","1","USA"
"5","N","Funny Games","n/a","$7,751","-","7","-","$1,107","$7,751","1","Austria, France, Germany, Italy, UK, USA"
"6","N","The Strangers","n/a","$7,343","-","3","-","$2,448","$7,343","1","USA"
"7","5","Transporter 3","n/a","$6,719","-39.6%","12","-","$560","$30,027","2","France"
"8","7","The Proposal","Disney","$2,130","-53.4%","7","-","$304","$284,259","6","USA"
"9","9","Up","Disney","$304","-9.8%","5","-","$61","$1,111,345","10","USA"
"10","8","Adventureland","Disney","$63","-97.5%","2","-10","$32","$35,989","4","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G-Force","Disney","$221,308","-39.9%","48","-","$4,611","$746,382","2","Unknown"
"2","N","G.I. Joe","UIP","$167,809","-","43","-","$3,903","$167,809","1","Unknown"
"3","3","Ice Age: Dawn of the Dinosaurs","Fox","$44,597","-32.5%","40","+2","$1,115","$2,369,818","6","Unknown"
"4","2","Harry Potter and the Half Blood Prince","Importadora","$36,981","-52.7%","50","-","$740","$1,138,049","4","Unknown"
"5","N","Transporter 3","n/a","$11,115","-","12","-","$926","$11,115","1","France"
"6","-","UIP","$5,261","-","7","-","$752","$1,068,325","7","USA",""
"7","4","The Proposal","Disney","$4,568","-72.2%","7","-16","$653","$278,565","5","USA"
"8","5","Adventureland","Disney","$2,538","-48.5%","12","-","$212","$33,563","3","USA"
"9","6","Up","Disney","$337","-78.2%","5","-4","$67","$1,110,832","9","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","G-Force","Disney","$368,192","-","48","-","$7,671","$368,192","1","Unknown"
"2","2","Harry Potter and the Half Blood Prince","Importadora","$78,225","-55.8%","50","-1","$1,565","$1,036,922","3","Unknown"
"3","1","Ice Age: Dawn of the Dinosaurs","Fox","$66,089","-67.3%","38","-13","$1,739","$2,271,634","5","Unknown"
"4","3","The Proposal","Disney","$16,404","-45.7%","23","-","$713","$259,608","4","USA"
"5","5","Adventureland","Disney","$4,927","-64.4%","12","-","$411","$27,588","2","USA"
"6","6","Up","Disney","$1,545","-63.4%","9","-5","$172","$1,109,749","8","USA"
"7","7","Terminator Salvation: The Future Begins","Sony","$254","-62.7%","2","-","$127","$426,747","9","USA"
"8","8","Night at the Museum: Battle of the Smithsonian","Fox","$114","-67.2%","4","+2","$29","$764,477","11","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","2","Ice Age: Dawn of the Dinosaurs","Fox","$201,939","-18.8%","51","-2","$3,960","$2,101,340","4","Unknown"
"2","1","Harry Potter and the Half Blood Prince","Importadora","$177,153","-51.6%","51","-","$3,474","$958,697","2","Unknown"
"3","3","The Proposal","Disney","$30,229","-27.7%","23","-","$1,314","$221,470","3","USA"
"4","-","UIP","$22,211","-","14","-","$1,587","$1,035,910","5","USA",""
"5","N","Adventureland","Disney","$13,819","-","12","-","$1,152","$13,819","1","USA"
"6","4","Up","Disney","$4,217","-39.1%","14","-1","$301","$1,105,802","7","USA"
"7","7","Terminator Salvation: The Future Begins","Sony","$681","+1,054.2%","2","+1","$341","$426,034","8","USA"
"8","6","Night at the Museum: Battle of the Smithsonian","Fox","$348","+53.3%","2","-","$174","$764,100","10","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Harry Potter and the Half Blood Prince","Importadora","$366,224","-","51","-","$7,181","$542,791","1","Unknown"
"2","1","Ice Age: Dawn of the Dinosaurs","Fox","$248,628","-44.4%","53","-","$4,691","$1,748,979","3","Unknown"
"3","3","The Proposal","Disney","$41,819","-46.3%","23","-","$1,818","$157,681","2","USA"
"4","4","Up","Disney","$6,928","-68.1%","15","-8","$462","$1,097,992","6","USA"
"5","-","Death Defying Acts","Importadora","$1,522","-","5","-","$304","$20,896","3","Australia, UK"
"6","9","Night at the Museum: Battle of the Smithsonian","Fox","$227","-83.8%","2","-5","$114","$763,589","9","USA"
"7","8","Terminator Salvation: The Future Begins","Sony","$59","-95.8%","1","-4","$59","$425,250","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Ice Age: Dawn of the Dinosaurs","Fox","$447,259","-20.4%","53","-","$8,439","$1,284,416","2","Unknown"
"2","2","UIP","$118,421","-37.0%","49","-","$2,417","$882,957","3","USA",""
"3","N","The Proposal","Disney","$77,831","-","23","-","$3,384","$77,831","1","USA"
"4","3","Up","Disney","$21,730","-30.7%","23","-13","$945","$1,085,314","5","USA"
"5","6","17 Again","Importadora","$2,566","-38.7%","4","-","$642","$175,666","9","USA"
"6","11","He's Just Not That Into You","Importadora","$1,974","+1,290.1%","3","+2","$658","$67,617","7","Germany, USA"
"7","7","Duplicity","UIP","$1,932","-42.0%","6","-1","$322","$73,111","4","Germany, USA"
"8","10","Terminator Salvation: The Future Begins","Sony","$1,406","-13.1%","5","+3","$281","$424,557","6","USA"
"9","9","Night at the Museum: Battle of the Smithsonian","Fox","$1,397","-34.1%","7","+5","$200","$763,362","8","USA"
"10","8","Angels & Demons","Sony","$1,059","-55.4%","2","-1","$530","$543,396","9","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Ice Age: Dawn of the Dinosaurs","Fox","$561,536","-","53","-","$10,595","$561,536","1","Unknown"
"2","1","UIP","$187,851","-51.2%","49","+6","$3,834","$729,031","2","USA",""
"3","2","Up","Disney","$31,371","-79.9%","36","-10","$871","$1,046,516","4","USA"
"4","N","The Women (2008)","n/a","$9,915","-","7","-","$1,416","$9,915","1","USA"
"5","N","Death Defying Acts","Importadora","$7,873","-","5","-","$1,575","$7,873","1","Australia, UK"
"6","5","17 Again","Importadora","$4,188","+12.1%","4","-1","$1,047","$170,693","8","USA"
"7","-","Duplicity","UIP","$3,332","-","7","-","$476","$68,463","3","Germany, USA"
"8","6","Angels & Demons","Sony","$2,376","-24.8%","3","-2","$792","$540,576","8","USA"
"9","4","Night at the Museum: Battle of the Smithsonian","Fox","$2,120","-67.1%","2","-17","$1,060","$760,372","7","USA"
"10","3","Terminator Salvation: The Future Begins","Sony","$1,618","-84.8%","2","-20","$809","$421,605","5","USA"
"11","7","He's Just Not That Into You","Importadora","$142","-86.1%","1","-2","$142","$65,643","6","Germany, USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country"
"1","N","UIP","$384,854","-","43","-","$8,950","$384,854","1","USA"
"2","1","Up","Disney","$156,183","-32.7%","46","-","$3,395","$944,134","3"
"3","2","Terminator Salvation: The Future Begins","Sony","$10,676","-76.3%","22","-","$485","$406,266","4"
"4","4","Night at the Museum: Battle of the Smithsonian","Fox","$6,438","-79.6%","19","+4","$339","$753,110","6"
"5","10","17 Again","Importadora","$3,736","+83.0%","5","-2","$747","$163,906","7"
"6","6","Angels & Demons","Sony","$3,160","-61.1%","5","-2","$632","$534,613","7"
"7","9","He's Just Not That Into You","Importadora","$1,019","-64.6%","3","-6","$340","$64,638","5"
"8","11","Hannah Montana The Movie","Disney","$724","-29.1%","3","-","$241","$480,266","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$232,085","-30.9%","46","-","$5,045","$690,067","2","USA"
"2","2","Terminator Salvation: The Future Begins","Sony","$45,031","-46.9%","22","-8","$2,047","$367,141","3","USA"
"3","N","Duplicity","UIP","$33,436","-","14","-","$2,388","$33,436","1","Germany, USA"
"4","3","Night at the Museum: Battle of the Smithsonian","Fox","$31,621","-38.4%","15","-18","$2,108","$733,429","5","USA"
"5","4","Fast and Furious","UIP","$18,100","-10.2%","28","-","$646","$249,250","4","USA"
"6","5","Angels & Demons","Sony","$8,127","-46.5%","7","-","$1,161","$525,954","6","USA"
"7","8","Role Models","UIP","$7,030","-30.8%","7","-","$1,004","$22,267","2","Germany, USA"
"8","7","Bangkok Dangerous (2008)","Importadora","$6,226","-44.3%","8","-","$778","$21,818","2","USA"
"9","9","He's Just Not That Into You","Importadora","$2,880","-36.1%","9","-1","$320","$62,209","4","Germany, USA"
"10","10","17 Again","Importadora","$2,042","-13.7%","7","-5","$292","$159,231","6","USA"
"11","11","Hannah Montana The Movie","Disney","$1,021","-21.1%","3","-1","$340","$479,344","7","USA"
"12","12","X-Men Origins: Wolverine","Fox","$70","-48.2%","1","-1","$70","$636,910","8","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Up","Disney","$335,802","-","46","-","$7,300","$335,802","1","USA"
"2","1","Terminator Salvation: The Future Begins","Sony","$84,783","-28.2%","30","-","$2,826","$274,825","2","USA"
"3","2","Night at the Museum: Battle of the Smithsonian","Fox","$51,313","-49.5%","33","-7","$1,555","$683,693","4","USA"
"4","3","Fast and Furious","UIP","$20,144","-53.2%","28","-12","$719","$231,140","3","USA"
"5","4","Angels & Demons","Sony","$15,184","-46.2%","7","-13","$2,169","$509,331","5","USA"
"6","5","Space Chimps","n/a","$12,003","-33.9%","12","-3","$1,000","$78,587","3","USA"
"7","N","Bangkok Dangerous (2008)","Importadora","$11,174","-","8","-","$1,397","$11,174","1","USA"
"8","N","Role Models","UIP","$10,161","-","7","-","$1,452","$10,161","1","Germany, USA"
"9","6","He's Just Not That Into You","Importadora","$4,507","-63.1%","10","-","$451","$56,103","3","Germany, USA"
"10","7","17 Again","Importadora","$2,365","-76.1%","12","-2","$197","$156,035","5","USA"
"11","8","Hannah Montana The Movie","Disney","$1,294","-86.2%","4","-11","$324","$478,111","6","USA"
"12","9","X-Men Origins: Wolverine","Fox","$135","-76.2%","2","-6","$68","$636,814","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Terminator Salvation: The Future Begins","Sony","$118,077","-","30","-","$3,936","$118,077","1","USA"
"2","1","Night at the Museum: Battle of the Smithsonian","Fox","$101,633","-34.2%","40","+1","$2,541","$607,471","3","USA"
"3","2","Fast and Furious","UIP","$43,018","-52.6%","40","-","$1,075","$177,623","2","USA"
"4","3","Angels & Demons","Sony","$28,209","-47.9%","20","-7","$1,410","$479,576","4","USA"
"5","4","Space Chimps","n/a","$18,156","-38.0%","15","-","$1,210","$63,554","2","USA"
"6","7","He's Just Not That Into You","Importadora","$12,199","-39.2%","10","-","$1,220","$51,596","2","Germany, USA"
"7","6","17 Again","Importadora","$9,878","-58.2%","14","-","$706","$153,670","4","USA"
"8","5","Hannah Montana The Movie","Disney","$9,380","-63.3%","15","-2","$625","$475,312","5","USA"
"9","8","X-Men Origins: Wolverine","Fox","$566","-87.4%","8","-5","$71","$636,658","6","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Night at the Museum: Battle of the Smithsonian","Fox","$154,469","-21.7%","39","-","$3,961","$424,156","2","USA"
"2","N","Fast and Furious","UIP","$90,798","-","40","-","$2,270","$90,798","1","USA"
"3","2","Angels & Demons","Sony","$54,170","-41.1%","27","-","$2,006","$419,593","3","USA"
"4","N","Space Chimps","n/a","$29,274","-","15","-","$1,952","$29,274","1","USA"
"5","3","Hannah Montana The Movie","Disney","$25,551","-52.8%","17","-20","$1,503","$453,939","4","USA"
"6","4","17 Again","Importadora","$23,601","-42.5%","14","-","$1,686","$140,797","3","USA"
"7","N","He's Just Not That Into You","Importadora","$20,077","-","10","-","$2,008","$20,077","1","Germany, USA"
"8","5","X-Men Origins: Wolverine","Fox","$4,483","-81.7%","13","-27","$345","$635,126","5","USA"
"9","-","Star Trek","UIP","$2,801","-","8","-","$350","$125,886","4","USA"
"10","11","Dragonball Evolution","Fox","$32","+14.3%","3","+2","$11","$384,761","8","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Night at the Museum: Battle of the Smithsonian","Fox","$197,317","-","39","-","$5,059","$197,317","1","USA"
"2","1","Angels & Demons","Sony","$91,983","-35.4%","27","-","$3,407","$313,466","2","USA"
"3","2","Hannah Montana The Movie","Disney","$54,090","-51.1%","37","-","$1,462","$417,904","3","USA"
"4","4","17 Again","Importadora","$41,043","+12.2%","14","+5","$2,932","$93,246","2","USA"
"5","3","X-Men Origins: Wolverine","Fox","$24,456","-62.4%","40","-","$611","$622,027","4","USA"
"6","-","Coraline","UIP","$10,133","-","10","-","$1,013","$261,989","4","USA"
"7","6","Earth (2007)","Disney","$2,785","-50.1%","11","-4","$253","$181,924","5","Germany, UK, USA"
"8","N","Milk","UIP","$2,785","-","2","-","$1,393","$4,270","1","USA"
"9","7","Race to Witch Mountain","Disney","$2,014","-36.8%","5","-2","$403","$609,549","9","USA"
"10","9","Frost/Nixon","UIP","$1,420","-41.0%","6","-","$237","$5,583","2","France, UK, USA"
"11","10","Dragonball Evolution","Fox","$28","-95.0%","1","-4","$28","$384,698","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Angels & Demons","Sony","$142,395","-","27","-","$5,274","$142,395","1","USA"
"2","1","Hannah Montana The Movie","Disney","$110,617","-41.2%","37","-","$2,990","$341,000","2","USA"
"3","2","X-Men Origins: Wolverine","Fox","$65,023","-43.0%","40","-","$1,626","$574,792","3","USA"
"4","N","17 Again","Importadora","$36,569","-","9","-","$4,063","$36,569","1","USA"
"5","3","Star Trek","UIP","$12,773","-72.3%","20","-","$639","$82,004","2","USA"
"6","5","Earth (2007)","Disney","$5,579","-59.8%","15","-","$372","$177,579","4","Germany, UK, USA"
"7","8","Race to Witch Mountain","Disney","$3,187","-39.8%","7","-1","$455","$606,675","8","USA"
"8","7","Paul Blart: Mall Cop","Sony","$2,975","-69.7%","12","-6","$248","$158,482","4","USA"
"9","N","Frost/Nixon","UIP","$2,405","-","6","-","$401","$2,405","1","France, UK, USA"
"10","11","Dragonball Evolution","Fox","$557","-52.3%","5","-","$111","$384,555","6","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Hannah Montana The Movie","Disney","$188,013","-","37","-","$5,081","$188,013","1","USA"
"2","1","X-Men Origins: Wolverine","Fox","$114,115","-58.9%","40","-","$2,853","$464,433","2","USA"
"3","N","Star Trek","UIP","$46,055","-","20","-","$2,303","$46,055","1","USA"
"4","2","Coraline","UIP","$45,066","-67.7%","31","-","$1,454","$206,029","2","USA"
"5","4","Earth (2007)","Disney","$13,877","-66.7%","15","-","$925","$167,934","3","Germany, UK, USA"
"6","5","Friday the 13th (2009)","UIP","$10,515","-73.0%","22","-2","$478","$162,369","3","USA"
"7","3","Paul Blart: Mall Cop","Sony","$9,828","-78.1%","18","-5","$546","$152,173","3","USA"
"8","7","Race to Witch Mountain","Disney","$5,290","-57.6%","8","-3","$661","$601,926","7","USA"
"9","11","The International","Sony","$2,731","+7.6%","11","-","$248","$71,153","4","Germany, UK, USA"
"10","9","Confessions of a Shopaholic","Disney","$1,679","-72.2%","3","-3","$560","$154,769","5","USA"
"11","6","Dragonball Evolution","Fox","$1,168","-92.4%","5","-7","$234","$383,599","5","USA"
"12","10","Changeling","UIP","$565","-89.0%","5","-7","$113","$59,124","4","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","X-Men Origins: Wolverine","Fox","$277,443","-","40","-","$6,936","$277,443","1","USA"
"2","N","Coraline","UIP","$139,652","-","31","-","$4,505","$139,652","1","USA"
"3","1","Paul Blart: Mall Cop","Sony","$44,932","-28.3%","23","-","$1,954","$130,813","2","USA"
"4","2","Earth (2007)","Disney","$41,626","-26.7%","15","-","$2,775","$144,655","2","Germany, UK, USA"
"5","-","Friday the 13th (2009)","UIP","$38,999","+8.6%","24","+7","$1,625","$134,283","2","USA"
"6","-","Dragonball Evolution","Fox","$15,326","-53.6%","12","-10","$1,277","$379,925","4","USA"
"7","-","Race to Witch Mountain","Disney","$12,471","-59.5%","11","-9","$1,134","$594,972","6","USA"
"8","-","Monsters Vs. Aliens","UIP","$7,141","-77.1%","16","+1","$446","$501,219","5","USA"
"9","-","Confessions of a Shopaholic","Disney","$6,038","-55.5%","6","-10","$1,006","$151,150","4","USA"
"10","-","Changeling","UIP","$5,129","-75.6%","12","-4","$427","$53,548","3","USA"
"11","-","The International","Sony","$2,539","-84.2%","11","-5","$231","$67,211","3","Germany, UK, USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Paul Blart: Mall Cop","Sony","$62,687","-","23","-","$2,726","$62,687","1","USA"
"2","N","Earth (2007)","Disney","$56,758","-","15","-","$3,784","$86,012","1","Germany, UK, USA"
"-","N","Friday the 13th (2009)","UIP","$35,900","-","17","-","$2,112","$35,900","1","USA"
"-","1","Dragonball Evolution","Fox","$33,024","-56.5%","22","-4","$1,501","$356,136","3","USA"
"-","2","Monsters Vs. Aliens","UIP","$31,112","-31.3%","15","-14","$2,074","$569,737","4","USA"
"-","3","Race to Witch Mountain","Disney","$30,772","-26.4%","20","-","$1,539","$575,779","5","USA"
"-","6","Changeling","UIP","$21,050","-25.6%","16","-","$1,316","$49,350","2","USA"
"-","5","The International","Sony","$16,042","-47.2%","16","-","$1,003","$59,502","2","Germany, UK, USA"
"-","4","Confessions of a Shopaholic","Disney","$13,572","-56.0%","16","-","$848","$140,729","3","USA"
"-","7","Fly Me to the Moon","Importadora","$6,434","-70.1%","11","-7","$585","$121,253","4","Belgium"
"-","9","Underworld: Rise of the Lycans","Sony","$276","-47.5%","1","-1","$276","$171,717","6","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Dragonball Evolution","Fox","$75,968","-57.8%","26","-","$2,922","$304,079","2","USA"
"2","-","Monsters Vs. Aliens","UIP","$45,300","-67.9%","29","-10","$1,562","$338,625","3","USA"
"3","-","Race to Witch Mountain","Disney","$41,827","-50.9%","20","-12","$2,091","$534,895","4","USA"
"4","-","Confessions of a Shopaholic","Disney","$30,828","-50.2%","16","-3","$1,927","$114,937","2","USA"
"5","N","The International","Sony","$30,388","-","16","-","$1,899","$30,388","1","Germany, UK, USA"
"6","N","Changeling","UIP","$28,300","-","16","-","$1,769","$28,300","1","USA"
"7","-","Fly Me to the Moon","Importadora","$21,500","-39.0%","18","-","$1,194","$111,107","3","Belgium"
"8","-","Hotel for Dogs","UIP","$7,300","-45.5%","5","-9","$1,460","$223,665","5","Germany, USA"
"9","-","Underworld: Rise of the Lycans","Sony","$526","-90.1%","2","-14","$263","$171,199","5","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Dragonball Evolution","Fox","$179,974","-","26","-","$6,922","$179,974","1","USA"
"-","1","Monsters Vs. Aliens","UIP","$140,987","+6.1%","39","+14","$3,615","$401,983","2","USA"
"-","3","Race to Witch Mountain","Disney","$85,119","-6.2%","32","-","$2,660","$466,530","3","USA"
"-","N","Confessions of a Shopaholic","Disney","$61,923","-","19","-","$3,259","$61,923","1","USA"
"-","2","Fly Me to the Moon","Importadora","$35,264","-64.3%","18","-7","$1,959","$82,237","2","Belgium"
"-","-","Hotel for Dogs","UIP","$13,400","-67.3%","14","-6","$957","$206,391","4","Germany, USA"
"-","-","Underworld: Rise of the Lycans","Sony","$5,296","-70.1%","16","-5","$331","$170,175","4","USA"
"-","-","The Duchess","UIP","$3,200","-","5","-","$640","$14,448","3","France, Italy, UK"
"-","-","Bedtime Stories","n/a","$2,581","-36.5%","6","-8","$430","$832,194","8","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Monsters Vs. Aliens","UIP","$132,901","-","25","-","$5,316","$132,901","1","USA"
"2","N","Fly Me to the Moon","Importadora","$98,712","-","25","-","$3,948","$98,712","1","Belgium"
"3","1","Race to Witch Mountain","Disney","$90,762","-37.6%","32","-","$2,836","$236,174","2","USA"
"-","2","Hotel for Dogs","UIP","$40,923","-39.3%","20","-5","$2,046","$227,374","3","Germany, USA"
"-","-","Underworld: Rise of the Lycans","Sony","$17,708","-37.9%","21","-","$843","$152,893","3","USA"
"-","-","Inkheart","n/a","$7,465","-44.6%","22","-2","$339","$266,773","5","Germany, UK, USA"
"-","-","Seven Pounds","n/a","$6,424","-15.1%","17","-6","$378","$136,643","4","USA"
"-","-","Bedtime Stories","n/a","$4,063","-35.4%","14","-1","$290","$829,345","7","USA"
"-","-","RockNRolla","n/a","$1,117","-46.7%","5","-3","$223","$8,574","3","UK"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Race to Witch Mountain","$145,412","-","32","-","$4,544","$145,412","1","USA"
"2","5","Hotel for Dogs","$67,368","+77.8%","25","+6","$2,695","$186,451","2","Germany, USA"
"-","1","Underworld: Rise of the Lycans","$28,503","-51.8%","21","-","$1,357","$119,335","2","USA"
"-","3","Inkheart","$13,468","-73.4%","24","-","$561","$245,474","4","Germany, UK, USA"
"-","4","Jonas Brothers: The 3D Concert Experience","$12,592","-72.5%","8","-","$1,574","$129,717","3","USA"
"-","7","Body of Lies","$9,017","-67.7%","8","-","$1,127","$43,779","2","USA"
"-","6","Seven Pounds","$7,569","-74.0%","23","-","$329","$125,151","3","USA"
"-","2","Bedtime Stories","$6,287","-88.5%","15","-18","$419","$825,282","6","USA"
"-","13","Vicky Cristina Barcelona","$4,096","+1.8%","8","+1","$512","$29,828","3","Spain, USA"
"-","8","Watchmen","$2,901","-84.4%","10","-11","$290","$116,082","4","USA"
"-","9","RockNRolla","$2,096","-87.2%","8","+1","$262","$5,933","2","UK"
"-","10","Gran Torino","$1,055","-84.7%","7","-1","$151","$36,822","5","Australia, USA"
"-","16","Free Style","$515","-31.2%","4","-8","$129","$49,769","5","Canada"
