" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"6","4","Paranormal Activity 3","UIP","$27,296","-59.2%","27","-","$1,011","$541,297","4"
"7","5","In Time","Fox","$15,156","-71.3%","15","-","$1,010","$80,471","2"
"8","6","Contagion","Importadora","$11,141","-73.2%","15","-8","$743","$157,980","3"
"9","-","The Dilemma","UIP","$3,796","-","4","-","$949","$60,497","8"
"10","9","Crazy, Stupid, Love.","Importadora","$2,626","-46.9%","5","-2","$525","$198,178","10"
"11","10","Horrible Bosses","Importadora","$2,509","-39.8%","4","+1","$627","$162,578","9"
"12","7","What's Your Number?","Fox","$2,224","-63.7%","11","-4","$202","$77,813","4"
"13","8","The Lion King (in 3D)","Disney","$1,900","-64.0%","13","-5","$146","$1,300,272","9"
"14","12","The Smurfs","Sony","$918","-40.6%","8","-6","$115","$3,036,081","15"
"15","-","Source Code","Venus","$826","-","2","-","$413","$64,820","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Shark Night 3D","Disney","$149,760","-","36","-","$4,160","$305,174","1"
"2","2","Dolphin Tale","Importadora","$123,239","-2.0%","23","-","$5,358","$558,377","3"
"3","3","Real Steel","Disney","$79,848","-17.0%","44","-","$1,815","$1,263,661","5"
"4","1","Paranormal Activity 3","UIP","$66,957","-47.3%","27","-","$2,480","$487,039","3"
"5","N","In Time","Fox","$52,847","-","15","-","$3,523","$52,847","1"
"6","4","Contagion","Importadora","$41,521","-8.1%","23","+8","$1,805","$132,946","2"
"7","5","What's Your Number?","Fox","$6,127","-62.6%","15","-","$408","$71,654","3"
"8","9","The Lion King (in 3D)","Disney","$5,270","+50.4%","18","-","$293","$1,298,243","8"
"9","8","Crazy, Stupid, Love.","Importadora","$4,943","-5.6%","7","+1","$706","$192,738","9"
"10","11","Horrible Bosses","Importadora","$4,164","+270.5%","3","+2","$1,388","$158,377","8"
"11","7","Bad Teacher","Sony","$3,813","-30.6%","14","-3","$272","$104,640","4"
"12","-","The Smurfs","Sony","$1,545","-","14","-","$110","$3,034,952","14"
"13","12","Green Lantern","Importadora","$1,491","+219.3%","11","-","$136","$1,255,484","12"
"14","10","Friends with Benefits","Sony","$518","-60.0%","1","-3","$518","$186,300","6"
"15","6","Final Destination 5","Importadora","$306","-94.5%","2","-10","$153","$787,707","7"
"16","13","Rise of the Planet of the Apes","Fox","$117","+20.6%","1","-","$117","$410,768","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","3","Paranormal Activity 3","UIP","$127,141","+6.3%","27","+2","$4,709","$323,183","2"
"2","1","Dolphin Tale","Importadora","$125,797","-23.2%","23","-","$5,469","$329,242","2"
"3","2","Real Steel","Disney","$96,172","-38.0%","44","-","$2,186","$1,103,431","4"
"4","N","Contagion","Importadora","$45,163","-","15","-","$3,011","$45,163","1"
"5","4","What's Your Number?","Fox","$16,390","-39.6%","15","-","$1,093","$57,416","2"
"6","7","Final Destination 5","Importadora","$5,517","-49.1%","12","-","$460","$786,579","6"
"7","5","Bad Teacher","Sony","$5,492","-74.7%","17","-","$323","$96,618","3"
"8","10","Crazy, Stupid, Love.","Importadora","$5,236","+113.6%","6","+4","$873","$181,053","8"
"9","6","The Lion King (in 3D)","Disney","$3,505","-77.5%","18","-5","$195","$1,290,080","7"
"10","8","Friends with Benefits","Sony","$1,294","-83.3%","4","-18","$324","$185,164","5"
"11","13","Horrible Bosses","Importadora","$1,124","-12.3%","1","-2","$1,124","$150,309","7"
"12","14","Green Lantern","Importadora","$467","-13.5%","11","+2","$42","$1,253,649","11"
"13","15","Rise of the Planet of the Apes","Fox","$97","-23.0%","1","-","$97","$410,558","9"
