" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Tron Legacy","Disney","$290,192","+55.4%","64","+34","$4,534","$476,970","1"
"2","2","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$88,367","-44.0%","58","-","$1,524","$1,404,509","4"
"3","N","Paranormal Activity 2","UIP","$72,549","-","26","-","$2,790","$72,549","1"
"4","3","The Tourist","Sony","$45,151","-34.1%","27","-","$1,672","$187,647","2"
"5","4","Megamind","UIP","$37,066","-39.4%","30","-","$1,236","$682,875","5"
"6","6","Life as We Know It","Importadora","$27,157","-26.8%","14","-","$1,940","$106,501","2"
"7","5","Harry Potter and the Deathly Hallows (Part One)","Importadora","$17,178","-57.8%","29","-1","$592","$1,672,807","7"
"8","7","Charlie St. Cloud","UIP","$12,850","-30.7%","13","-1","$988","$49,036","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","Tron Legacy","Disney","$186,778","-","30","-","$6,226","$186,778","-"
"2","1","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$157,721","-26.4%","58","+2","$2,719","$1,159,664","3"
"3","N","The Tourist","Sony","$68,550","-","27","-","$2,539","$68,550","1"
"4","2","Megamind","UIP","$61,188","-35.2%","30","-24","$2,040","$625,830","4"
"5","3","Harry Potter and the Deathly Hallows (Part One)","Importadora","$40,667","-24.3%","30","-19","$1,356","$1,618,488","6"
"6","N","Life as We Know It","Importadora","$37,120","-","14","-","$2,651","$37,120","1"
"7","N","Charlie St. Cloud","UIP","$18,529","-","14","-","$1,324","$18,529","1"
"8","4","The Last Exorcism","n/a","$14,594","-33.0%","11","-","$1,327","$51,885","2"
"9","5","The Social Network","Sony","$3,120","-76.0%","12","-1","$260","$103,099","4"
"10","N","Oceans","n/a","$3,062","-","3","-","$1,021","$3,062","1"
"11","10","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$598","-22.0%","10","-4","$60","$995,942","10"
"12","8","Vampires Suck","Fox","$11","-99.3%","1","-5","$11","$146,005","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$214,205","-28.9%","56","-","$3,825","$887,501","2"
"2","2","Megamind","UIP","$94,372","-10.8%","54","+4","$1,748","$531,603","3"
"3","3","Harry Potter and the Deathly Hallows (Part One)","Importadora","$53,713","-39.0%","49","+9","$1,096","$1,543,001","5"
"4","N","The Last Exorcism","n/a","$21,785","-","11","-","$1,980","$21,785","1"
"5","4","The Social Network","Sony","$12,984","-34.9%","13","-","$999","$90,077","3"
"6","6","The Other Guys","Sony","$2,884","-42.4%","19","-","$152","$88,021","4"
"7","5","Love Happens","n/a","$2,658","-61.6%","3","-1","$886","$14,747","2"
"8","7","Vampires Suck","Fox","$1,487","-57.9%","6","-","$248","$144,960","10"
"9","10","Going the Distance","Importadora","$996","-28.2%","6","-","$166","$131,669","11"
"10","9","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$767","-65.9%","14","-2","$55","$994,983","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$301,383","+85.2%","56","+43","$5,382","$673,297","1"
"2","3","Megamind","UIP","$105,837","-24.1%","50","-6","$2,117","$399,706","2"
"3","2","Harry Potter and the Deathly Hallows (Part One)","Importadora","$88,044","-42.5%","40","-16","$2,201","$1,489,288","4"
"4","4","The Social Network","Sony","$19,928","-25.0%","13","-","$1,533","$65,178","2"
"5","N","Love Happens","n/a","$6,923","-","4","-","$1,731","$6,923","1"
"6","5","The Other Guys","Sony","$5,005","-72.8%","19","-3","$263","$83,088","3"
"7","-","Vampires Suck","Fox","$3,532","-","6","-","$589","$141,687","9"
"8","6","Due Date","Importadora","$2,481","-59.7%","5","-9","$496","$148,715","5"
"9","7","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$2,248","-51.2%","16","-11","$141","$994,216","8"
"10","8","Going the Distance","Importadora","$1,387","-62.1%","6","+3","$231","$130,672","10"
"11","10","Eat Pray Love","Sony","$390","-51.3%","1","-","$390","$208,597","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","-","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$162,774","-","13","$12,521","$262,177","-"
"2","-","Harry Potter and the Deathly Hallows (Part One)","Importadora","$153,019","-","56","$2,732","$1,296,072","3"
"3","N","Megamind","UIP","$139,376","-","56","$2,489","$287,582","1"
"4","N","The Social Network","Sony","$26,581","-","13","$2,045","$26,581","1"
"5","1","The Other Guys","Sony","$18,406","-38.4%","22","$837","$67,469","2"
"6","-","Due Date","Importadora","$6,155","-","14","$440","$140,500","4"
"7","-","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$4,605","-","27","$171","$989,715","7"
"8","-","Going the Distance","Importadora","$3,655","-","3","$1,218","$126,162","9"
"9","-"," Sammy's Adventures: The Secret Passage","n/a","$1,035","-","3","$345","$179,584","6"
"10","2","Eat Pray Love","Sony","$801","-23.3%","1","$801","$207,643","10"
"11","-","Cop Out","Importadora","$343","-","2","$172","$125","14"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Harry Potter and the Deathly Hallows (Part One)","Importadora","$576,214","-","56","-","$10,290","$576,214","1"
"2","1","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$42,295","-46.7%","30","-20","$1,410","$951,779","5"
"3","2","Due Date","Importadora","$23,183","-53.7%","14","-","$1,656","$96,041","2"
"4","3"," Sammy's Adventures: The Secret Passage","n/a","$11,938","-56.8%","6","-1","$1,990","$171,004","4"
"5","N","Passengers","n/a","$7,126","-","3","-","$2,375","$7,126","1"
"6","10","Piranha 3D","n/a","$2,715","+11.0%","3","-","$905","$259,019","7"
"7","6","Eat Pray Love","Sony","$2,642","-75.8%","8","-4","$330","$203,179","8"
"8","9","Cop Out","Importadora","$1,592","-62.9%","3","-","$531","$73,940","12"
"9","7"," Tinker Bell and the Great Fairy Rescue","Disney","$1,372","-79.9%","6","-8","$229","$316,284","10"
"10","4","From Paris with Love","n/a","$1,347","-92.7%","12","-","$112","$27,100","2"
"11","8","Låt den rätte komma in (Let the Right One In)","n/a","$559","-90.2%","2","-1","$280","$9,402","2"
"12","12","Cats & Dogs: Revenge of Kitty Galore","Importadora","$363","-72.5%","5","-9","$73","$877,175","14"
"13","13","Vampires Suck","Fox","$28","-96.8%","1","-2","$28","$128,141","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","Legend of the Guardians: The Owls of Ga'Hoole","Importadora","$79,363","-","50","-","$1,587","$887,540","4"
"2","N","Due Date","Importadora","$50,053","-","14","-","$3,575","$50,053","1"
"3","1"," Sammy's Adventures: The Secret Passage","n/a","$27,621","-9.6%","7","-","$3,946","$152,556","3"
"4","N","From Paris with Love","n/a","$18,443","-","12","-","$1,537","$18,443","1"
"5","-","The Messengers","n/a","$11,927","-","11","-","$1,084","$49,553","2"
"6","3","Eat Pray Love","Sony","$10,898","-14.3%","12","+4","$908","$195,734","7"
"7","5"," Tinker Bell and the Great Fairy Rescue","Disney","$6,817","+28.7%","14","+3","$487","$314,912","9"
"8","N","Låt den rätte komma in (Let the Right One In)","n/a","$5,727","-","3","-","$1,909","$5,727","1"
"9","-","Cop Out","Importadora","$4,292","-","3","-","$1,431","$70,445","11"
"10","6","Piranha 3D","n/a","$2,447","-40.7%","3","-3","$816","$254,798","6"
