" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$1,005,514","+2.2%","84","-3","$11,970","$2,913,575","2"
"2","N","Alvin and the Chipmunks: The Squeakquel","Fox","$294,347","-","30","-","$9,812","$384,495","1"
"3","-","Sherlock Holmes","WB","$31,278","-","45","-","$695","$31,278","-"
"4","4","2012","Sony","$11,000","-35.9%","9","-22","$1,222","$6,628,614","7"
"5","5","Old Dogs","Disney","$6,526","-35.3%","6","+1","$1,088","$393,401","4"
"6","2","Ninja Assassin","WB","$5,691","-78.0%","9","-9","$632","$1,625,793","5"
"7","3","Zombieland","Sony","$517","-97.3%","2","-28","$259","$186,287","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Avatar","Fox","$984,217","-","87","-","$11,313","$1,131,817","1"
"2","1","Ninja Assassin","WB","$25,909","-89.0%","18","-32","$1,439","$1,607,939","4"
"3","2","Zombieland","Sony","$19,263","-84.6%","30","-","$642","$184,324","2"
"4","4","2012","Sony","$17,146","-79.9%","31","-33","$553","$6,611,789","6"
"5","3","Old Dogs","Disney","$10,092","-90.2%","5","-21","$2,018","$382,224","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Ninja Assassin","WB","$235,818","-27.7%","50","-","$4,716","$1,472,184","3"
"2","N","Zombieland","Sony","$125,006","-","30","-","$4,167","$136,136","1"
"3","3","Old Dogs","Disney","$102,857","-23.7%","26","-4","$3,956","$331,204","2"
"4","2","2012","Sony","$85,215","-68.5%","64","-11","$1,331","$6,578,873","5"
"5","-","G-Force","Disney","$7,680","-","3","-","$2,560","$1,276,028","13"
"6","4","A Christmas Carol (2009)","Disney","$6,611","-63.9%","6","-3","$1,102","$484,021","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Ninja Assassin","WB","$326,274","-18.6%","50","-","$6,525","$1,039,043","2"
