" Movie Title"," Distributor"," Gross"," Release"
"Potiche","Scanbox","$192,299","5/13"
"What's Your Number?","Fox","$191,655","10/21"
"Easy A","Sony","$191,531","1/14"
"Le gamin au vélo","Arthouse","$185,579","8/5"
"One Day","Svensk","$178,962","11/11"
"Paul","UIP","$177,119","6/10"
"The Lincoln Lawyer","n/a","$163,274","7/8"
"Killer Elite","Nordisk","$159,659","11/4"
"Alpha and Omega","Svensk","$154,599","3/18"
"Blue Valentine","Svensk","$151,655","4/15"
"Le Havre","Arthouse","$149,621","9/16"
"Den kæmpestore bjørn (The Great Bear)","n/a","$141,165","9/9"
"The Way Back","Scanbox","$138,887","3/25"
"The Mechanic","Nordisk","$137,338","5/13"
"Simon and the Oaks","Nordisk","$137,016","12/25"
"Zookeeper","Sony","$133,610","9/16"
"Morning Glory","UIP","$130,719","1/14"
"Noruwei no mori (Norwegian Wood)","Arthouse","$125,832","3/18"
"Das Lied in mir (The Day I Was Not Born)","Fidalgo","$118,747","10/14"
"50/50","Sandrew","$112,805","11/11"
"Incendies","Scanbox","$98,985","4/29"
"The Skin I Live In","n/a","$97,691","11/11"
"Arthur (2011)","WB","$95,610","5/6"
"Season of the Witch","Nordisk","$90,441","3/4"
"Pushwagner","n/a","$89,646","9/2"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","n/a","$88,777","10/7"
"Dream House","Nordisk","$79,837","12/9"
"Something Borrowed","Svensk","$79,313","6/17"
"Blitz","Nordisk","$78,249","6/24"
"Les émotifs anonymes","Arthouse","$67,012","7/1"
"Umeå4ever","Nordisk","$63,353","4/1"
"Santa's Apprentice","n/a","$63,133","12/2"
"Sanctum (3D)","Svensk","$61,519","5/6"
"Biutiful","Nordisk","$60,580","2/25"
"The Beaver","Nordisk","$60,122","5/20"
"Submarine","Fidalgo","$58,019","7/22"
"I Don't Know How She Does It","n/a","$57,527","10/21"
"Tomorrow, When the War Began","UIP","$55,454","4/15"
"La tête en friche","n/a","$48,135","7/29"
"Monsters","Scanbox","$43,747","4/1"
"Desert Flower","Sandrew","$41,554","7/1"
"Miesten vuoro (Steam of Life)","Arthouse","$40,358","1/21"
"Habemus Papam (We Have a Pope)","n/a","$39,969","10/21"
"Route Irish","Fidalgo","$39,436","4/15"
"A Brand New Life","Fidalgo","$34,493","2/4"
"Get Low","Scanbox","$33,666","1/21"
"Bambieffekten","n/a","$33,144","7/28"
"Vincent will meer","Fidalgo","$29,359","8/5"
"Pax","Scanbox","$29,240","3/18"
"Last Night","Svensk","$25,946","1/28"
"Mars Needs Moms","Disney","$14,832","6/3"
"30 Minutes or Less","Sony","$10,518","10/14"
"Country Strong","Sony","$2,225","4/15"
