" Movie Title",," Gross"," Release"
"The Magic Roundabout (Doogal)",,"$86,896","7/25"
"Gone Baby Gone",,"$86,638","1/25"
"Prey (2007)",,"$83,481","1/18"
"Lassie (2005)",,"$83,143","5/2"
"The Big White",,"$79,446","7/4"
"El Tinte De La Fama",,"$79,410","2/1"
"My Blueberry Nights",,"$75,741","6/6"
"Trust the Man",,"$69,357","8/1"
"Reservation Road",,"$59,648","8/22"
"The Last Mimzy",,"$56,470","1/4"
"Shortbus",,"$54,857","11/14"
"Sukkar banat (Caramel)",,"$50,846","12/19"
"The Fine Art of Love: Mine Ha-Ha",,"$43,960","3/14"
"Jeux d'enfants (Love Me If You Dare)",,"$42,830","6/13"
"La Misma luna (Under the Same Moon)",,"$41,963","9/12"
"The Assassination of Jesse James by the Coward Robert Ford",,"$39,368","1/11"
"Si jie (Lust, Caution)",,"$36,872","10/3"
"The Bridge of San Luis Rey",,"$36,469","4/11"
"¿Quién dice que es fácil?",,"$34,532","9/5"
"Tropa de Elite (Elite Squad)",,"$31,708","9/12"
"36 Quai des Orfèvres",,"$29,766","5/9"
"Seraphim Falls",,"$27,593","3/28"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)",,"$26,896","5/30"
"The Savages",,"$24,126","7/18"
"El Pasado",,"$11,071","9/19"
"Viva Cuba",,"$5,625","7/25"
"The Road to Guantanamo",,"$4,045","6/20"
"El Violin (The Violin)",,"$2,970","5/16"
"The 11th Hour",,"$2,081","1/11"
