" Movie Title","Distributor","Gross","Release"
"All's Well Ends Well 2010","Golden Village","$194,497","2/18"
"Chuen sing yit luen - yit lat lat (Hot Summer Days)","Fox","$190,468","2/25"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle
Blanc-Sec)","Cathay","$185,020","11/4"
"Avatar: Special Edition","Fox","$176,601","8/26"
"[Rec] 2","Golden Village","$174,499","4/8"
"Lian ai tong gao (Love in Disguise)","Cathay","$172,883","8/12"
"Happy-Go-Lucky","Cathay","$168,435","3/4"
"Fei saa fung chung chun (Once a Gangster)","Golden Village","$167,106","5/20"
"Santau","n/a","$165,006","1/28"
"The Lovely Bones","UIP","$164,275","3/18"
"Remember Me","Shaw","$157,706","3/18"
"New York, I Love You","Cathay","$154,854","1/14"
"Nanny McPhee and The Big Bang","UIP","$149,922","6/10"
"The Stool Pigeon","Golden Village","$145,960","8/26"
"Sammy's Adventures: The Secret Passage","Shaw","$143,348","12/9"
"Fankao (My Ex)","Golden Village","$142,743","1/28"
"Nine","Golden Village","$140,158","2/18"
"Shanghai","Golden Village","$132,573","7/1"
"Letters to Juliet","Shaw","$131,345","6/24"
"Inshite miru: 7-kakan no desu gêmu (The Incite Mill)","WB","$130,581","10/28"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Golden Village","$129,517","8/12"
"The Crazies","Cathay","$129,461","7/22"
"Dinner for Schmucks","UIP","$127,180","10/7"
"Kokuhaku (Confessions)","Golden Village","$125,670","11/25"
"The American","Shaw","$124,741","10/14"
"The Housemaid","Golden Village","$123,654","11/11"
"Love Cuts","Golden Village","$122,176","9/9"
"Nodame Kantâbire: Saishuu-gakushou - Zenpen","Golden Village","$121,597","3/11"
"Hot Tub Time Machine","Cathay","$117,101","7/15"
"Ju-on: Shiroi rôjo (The Grudge: Old Lady in White)","Golden Village","$115,814","4/1"
"For lung (Fire of Conscience)","Shaw","$115,793","4/1"
"Raiâ gêmu: Za fainaru sutêji (Liar Game: The Final Stage)","Golden Village","$115,734","8/12"
"Kaiji: Jinsei gyakuten gêmu","Cathay","$114,592","3/11"
"Nodame Kantâbire: Saishuu-gakushou - Kouhen","Golden Village","$108,654","7/15"
"I Love You, Phillip Morris","Cathay","$107,466","9/30"
"Girl$","Shaw","$106,601","9/2"
"Alpha and Omega","Shaw","$105,531","9/17"
"9 Temples","Cathay","$101,956","7/1"
"Mei loi ging chaat (Future X-Cops)","Golden Village","$101,374","4/8"
"Banlieue 13 - Ultimatum","Golden Village","$101,130","5/6"
"Whip It!","Cathay","$98,627","3/25"
"Charlie St. Cloud","UIP","$92,681","9/30"
"The Hole (2010)","Shaw","$91,712","9/2"
"My Soul to Take","UIP","$90,806","12/2"
"L'arnacoeur (Heartbreaker)","Cathay","$89,491","8/26"
"The Men Who Stare at Goats","Cathay","$88,004","4/1"
"Mao's Last Dancer","Golden Village","$86,519","4/22"
"Huang cun gong yu (Curse of the Deserted)","Cathay","$86,189","8/12"
"The Haunted House Project","Shaw","$83,322","12/2"
"Chun sing gai bei (City Under Siege)","Golden Village","$83,076","8/19"
"The Switch","Golden Village","$82,813","9/30"
"Jump!","Sony","$81,106","1/14"
"Repo Men","UIP","$79,209","7/1"
"A Single Man","Cathay","$76,510","4/1"
"Furry Vengeance","Shaw","$75,853","6/3"
"Jackass 3-D","UIP","$74,112","10/28"
"The Infidel","Cathay","$73,527","9/16"
"The King of Fighters","Shaw","$73,129","8/26"
"Frozen","Golden Village","$67,933","8/19"
"Au revoir Taipei","Cathay","$67,288","7/29"
"I Hate Valentine's Day","Cathay","$66,812","2/4"
"Chloe","Shaw","$65,561","7/8"
