" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"10","5","Ghost Town","$7,307","-81.5%","4","-12","$1,827","$58,786","2","USA"
"-","8","Pineapple Express","$3,366","-90.1%","3","-9","$1,122","$49,451","2","USA"
"-","10","High School Musical 3: Senior Year","$3,325","-61.8%","2","-1","$1,663","$640,432","6","USA"
"-","4"," Open Season 2","$3,263","-93.8%","5","-11","$653","$172,485","3","USA"
"-","-","Nights in Rodanthe","$2,850","-5.8%","1","-","$2,850","$75,294","3","Australia, USA"
"-","7"," Hero Wanted","$2,827","-92.0%","2","-17","$1,414","$258,025","3","Unknown"
"-","9","Over Her Dead Body","$2,235","-86.5%","1","-13","$2,235","$95,173","3","USA"
"-","-","Eagle Eye","$1,869","-68.3%","1","-","$1,869","$1,085,615","8","Germany, USA"
"-","6","Igor","$1,541","-95.7%","7","-5","$220","$42,434","2","France, USA"
"-","-","Bangkok Dangerous (2008)","$603","-90.9%","1","-2","$603","$645,180","5","USA"
"-","-","Space Chimps","$114","-82.3%","1","-","$114","$176,683","18","USA"
"-","-"," Chasseurs de dragons (Dragon Hunters)","$86","-93.9%","1","-","$86","$129,636","9","France, Germany, Luxem"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Body of Lies","$321,482","-","20","-","$16,074","$321,482","1","USA"
"2","N","Saw V","$248,998","-","20","-","$12,450","$248,998","1","USA"
"3","1","Quantum of Solace","$141,243","-58.8%","15","-10","$9,416","$1,783,935","3","UK, USA"
"4","3"," Open Season 2","$52,325","-46.5%","16","-","$3,270","$162,806","2","USA"
"5","N","Ghost Town","$39,593","-","16","-","$2,475","$39,593","1","USA"
"6","N","Igor","$36,079","-","12","-","$3,007","$36,079","1","France, USA"
"7","2"," Hero Wanted","$35,194","-79.4%","19","-1","$1,852","$243,301","2","Unknown"
"8","N","Pineapple Express","$33,842","-","12","-","$2,820","$33,842","1","USA"
"9","5","Over Her Dead Body","$16,551","-69.2%","14","-","$1,182","$86,813","2","USA"
"10","10","High School Musical 3: Senior Year","$8,696","-64.2%","3","-5","$2,899","$636,249","5","USA"
"-","8","Bangkok Dangerous (2008)","$6,598","-74.7%","3","-5","$2,199","$642,629","4","USA"
"-","12","Eagle Eye","$5,891","-45.6%","1","-2","$5,891","$1,081,745","7","Germany, USA"
"-","11","Taken","$5,834","-63.4%","2","-1","$2,917","$330,075","4","France"
"-","4","Mongol","$5,705","-93.7%","4","-15","$1,426","$125,662","2","Germany, Kazak, Mongolia, Russia"
"-","6","Nights in Rodanthe","$3,026","-93.8%","1","-12","$3,026","$71,021","2","Australia, USA"
"-","9"," Amaliyat Khassa","$2,819","-88.5%","4","-11","$705","$34,955","2","Unknown"
"-","7","Timber Falls","$1,624","-94.1%","3","-14","$541","$172,371","3","USA"
