" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"11","9","Hellboy II: The Golden Army","$9,837","-30.8%","10","-2","$984","$799,121","6","Germany, USA"
"12","N","Snow Angels","$7,652","-","9","-","$850","$7,652","1","USA"
"13","-","Space Chimps","$3,285","-19.4%","4","-","$821","$162,677","9","USA"
"14","-","Kung Fu Panda","$2,841","-19.2%","6","-","$474","$1,760,695","16","USA"
"15","-","The Love Guru","$2,143","-9.5%","2","-1","$1,072","$435,072","9","Canada, Germany, USA"
"16","-","The Flock","$1,821","+3.9%","2","-1","$911","$176,637","5","USA"
"17","11","Wanted","$1,798","-65.8%","2","-3","$899","$1,788,401","11","Germany, USA"
"18","-","Hancock","$1,605","-18.0%","1","-","$1,605","$1,929,705","13","USA"
"19","-","Wall-E","$1,529","-19.8%","1","-","$1,529","$365,843","13","USA"
"20","-","The Incredible Hulk","$1,184","-21.1%","1","-","$1,184","$1,786,140","15","USA"
"21","-"," Astérix aux jeux olympiques","$964","+25.5%","1","-","$964","$59,524","6","Belgium, France, Germany, Italy, Spain"
"22","-","Gwoemul (The Host)","$905","-5.3%","4","-","$226","$98,923","4","South Korea"
"23","10"," Aaesabet El Doctor Omar","$580","-90.0%","2","-10","$290","$27,257","3","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","88 Minutes","$138,521","-","20","-","$6,926","$171,636","1","Germany, USA"
"2","2","Tropic Thunder","$43,207","-21.8%","16","-1","$2,700","$854,542","6","Germany, USA"
"3","1"," White Noise 2: The Light","$33,220","-59.8%","19","-","$1,748","$143,806","2","Canada, USA"
"4","4","Mamma Mia!","$28,035","-10.1%","9","-1","$3,115","$462,052","11","Germany, UK, USA"
"5","5"," Journey to the Center of the Earth","$24,868","-16.1%","5","+1","$4,974","$546,659","5","USA"
"6","7","The Dark Knight","$19,925","-24.8%","5","-1","$3,985","$2,489,761","9","USA"
"7","3","Wild Child","$19,516","-41.3%","6","+3","$3,253","$290,470","4","France, UK, USA"
"8","6","The Mummy: Tomb of the Dragon Emperor","$18,613","-32.0%","13","-6","$1,432","$1,981,828","7","Canada, Germany, USA"
"9","8","Hellboy II: The Golden Army","$14,217","-39.4%","12","-2","$1,185","$789,284","5","Germany, USA"
"10","10"," Aaesabet El Doctor Omar","$5,825","-62.8%","12","+1","$485","$26,677","2","Unknown"
"11","12","Wanted","$5,250","-27.5%","5","+1","$1,050","$1,786,602","10","Germany, USA"
"-","N"," Maradona By Kusturica","$4,416","-","4","-","$1,104","$7,441","1","France, Spain"
"-","16","Space Chimps","$4,074","+12.6%","4","-1","$1,019","$159,392","8","USA"
"-","15","Kung Fu Panda","$3,516","-21.7%","6","-","$586","$1,757,854","15","USA"
"-","13","The Love Guru","$2,368","-62.0%","3","-","$789","$432,929","8","Canada, Germany, USA"
"-","19","Hancock","$1,958","+1.0%","1","-","$1,958","$1,927,594","12","USA"
"-","18","Wall-E","$1,906","-6.7%","1","-","$1,906","$364,314","12","USA"
"-","11","The Flock","$1,753","-85.2%","3","-8","$584","$174,815","4","USA"
"-","14","The Incredible Hulk","$1,500","-70.6%","1","-1","$1,500","$1,784,955","14","USA"
"-","9","Gwoemul (The Host)","$956","-94.2%","4","-14","$239","$98,018","3","South Korea"
"-","17"," Astérix aux jeux olympiques","$768","-66.7%","1","-1","$768","$58,560","5","Belgium, France, Germany, Italy, Spain"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," White Noise 2: The Light","$82,704","-","19","-","$4,353","$101,838","1","Canada, USA"
"2","2","Tropic Thunder","$55,273","+9.4%","17","+5","$3,251","$799,759","5","Germany, USA"
"3","3","Wild Child","$33,247","-34.1%","3","-15","$11,082","$267,087","3","France, UK, USA"
"4","9","Mamma Mia!","$31,170","+59.5%","10","+7","$3,117","$424,865","10","Germany, UK, USA"
"5","5"," Journey to the Center of the Earth","$29,622","-30.0%","4","-10","$7,406","$515,076","4","USA"
"6","6","The Mummy: Tomb of the Dragon Emperor","$27,390","-26.8%","19","+14","$1,442","$1,958,643","6","Canada, Germany, USA"
"7","7","The Dark Knight","$26,477","-15.3%","6","-1","$4,413","$2,464,327","8","USA"
"8","4","Hellboy II: The Golden Army","$23,461","-51.2%","14","-4","$1,676","$771,920","4","Germany, USA"
"9","1","Gwoemul (The Host)","$16,364","-74.3%","18","-1","$909","$96,263","2","South Korea"
"10","N"," Aaesabet El Doctor Omar","$15,663","-","11","-","$1,424","$19,163","1","Unknown"
"11","8","The Flock","$11,844","-58.9%","11","-6","$1,077","$172,487","3","USA"
"12","14","Wanted","$7,243","-6.5%","4","-","$1,811","$1,779,838","9","Germany, USA"
"13","10","The Love Guru","$6,233","-46.5%","3","-","$2,078","$429,777","7","Canada, Germany, USA"
"14","20","The Incredible Hulk","$5,102","+327.3%","2","-","$2,551","$1,783,098","13","USA"
"15","15","Kung Fu Panda","$4,491","+8.4%","6","-","$749","$1,753,617","14","USA"
"16","16","Space Chimps","$3,617","-10.9%","5","+1","$723","$155,001","7","USA"
"17","19"," Astérix aux jeux olympiques","$2,303","+45.9%","2","-","$1,152","$57,605","4","Belgium, France, Germany, Italy, Spain"
"18","17","Wall-E","$2,042","-20.8%","1","-","$2,042","$362,221","11","USA"
"19","18","Hancock","$1,938","-19.0%","1","-","$1,938","$1,925,171","11","USA"
"20","13","Ne le dis à personne (Tell No One)","$1,206","-85.7%","1","-5","$1,206","$49,135","3","France"
"21","12","Nitro","$874","-90.7%","1","-5","$874","$13,251","2","Unknown"
"22","N"," Big City","$833","-","3","-","$278","$928","1","France"
"23","11","The Signal","$720","-92.8%","2","-9","$360","$104,266","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Gwoemul (The Host)","$63,730","-","19","-","$3,354","$76,567","1","South Korea"
"2","7","Tropic Thunder","$50,515","-28.4%","12","-","$4,210","$728,468","4","Germany, USA"
"3","1","Wild Child","$50,484","-65.6%","18","-2","$2,805","$227,465","2","France, UK, USA"
"4","2","Hellboy II: The Golden Army","$48,041","-66.5%","18","-2","$2,669","$741,854","3","Germany, USA"
"5","3"," Journey to the Center of the Earth","$42,342","-66.5%","14","-3","$3,024","$480,009","3","USA"
"6","6","The Mummy: Tomb of the Dragon Emperor","$37,420","-50.7%","5","-10","$7,484","$1,922,317","5","Canada, Germany, USA"
"7","8","The Dark Knight","$31,240","-32.4%","7","+3","$4,463","$2,430,424","7","USA"
"8","4","The Flock","$28,794","-72.8%","17","+2","$1,694","$156,844","2","USA"
"9","13","Mamma Mia!","$19,538","+124.0%","3","+2","$6,513","$382,975","9","Germany, UK, USA"
"10","15","The Love Guru","$11,655","+92.9%","3","+1","$3,885","$421,949","6","Canada, Germany, USA"
"11","5","The Signal","$10,053","-87.4%","11","-1","$914","$103,415","2","USA"
"12","N","Nitro","$9,433","-","6","-","$1,572","$12,011","1","Unknown"
"13","10","Ne le dis à personne (Tell No One)","$8,407","-73.5%","6","-","$1,401","$47,580","2","France"
"14","12","Wanted","$7,743","-12.3%","4","+1","$1,936","$1,769,741","8","Germany, USA"
"15","14","Kung Fu Panda","$4,145","-33.0%","6","+2","$691","$1,748,453","13","USA"
"16","-","Space Chimps","$4,058","-","4","-","$1,015","$151,045","6","USA"
"17","17","Wall-E","$2,578","-49.2%","1","-1","$2,578","$360,025","10","USA"
"18","16","Hancock","$2,391","-54.9%","1","-","$2,391","$1,922,300","10","USA"
"19","-"," Astérix aux jeux olympiques","$1,579","-11.9%","2","-","$790","$54,942","3","Belgium, France, Germany, Italy, Spain"
"20","-","The Incredible Hulk","$1,194","+3.2%","2","+1","$597","$1,777,086","12","USA"
"21","9","Feel the Noise","$750","-97.8%","2","-12","$375","$168,965","3","USA"
"22","-"," Al Jazira","$33","-97.9%","1","-","$33","$212,299","9","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Wild Child","$146,826","-","20","-","$7,341","$146,826","1","France, UK, USA"
"2","1","Hellboy II: The Golden Army","$143,293","-65.4%","20","-","$7,165","$660,087","2","Germany, USA"
"3","2"," Journey to the Center of the Earth","$126,445","-38.6%","17","-1","$7,438","$410,159","2","USA"
"4","N","The Flock","$105,749","-","15","-","$7,050","$150,749","1","USA"
"5","N","The Signal","$79,563","-","12","-","$6,630","$79,563","1","USA"
"6","3","The Mummy: Tomb of the Dragon Emperor","$75,824","-39.8%","15","-3","$5,055","$1,860,468","4","Canada, Germany, USA"
"7","4","Tropic Thunder","$70,545","-36.3%","12","-6","$5,879","$643,485","3","Germany, USA"
"8","6","The Dark Knight","$46,232","-26.2%","4","-2","$11,558","$2,377,148","6","USA"
"9","5","Feel the Noise","$33,304","-64.8%","14","-","$2,379","$164,255","2","USA"
"10","N","Ne le dis à personne (Tell No One)","$31,735","-","6","-","$5,289","$31,735","1","France"
"11","N","Death Defying Acts","$18,736","-","5","-","$3,747","$18,736","1","Australia, UK"
"12","10","Wanted","$8,833","-42.2%","3","-","$2,944","$1,756,573","7","Germany, USA"
"13","12","Mamma Mia!","$8,723","-13.5%","1","-","$8,723","$351,836","8","Germany, UK, USA"
"14","14","Kung Fu Panda","$6,183","-35.2%","4","+2","$1,546","$1,742,466","12","USA"
"15","13","The Love Guru","$6,042","-38.1%","2","-","$3,021","$405,652","5","Canada, Germany, USA"
"16","11","Hancock","$5,302","-48.3%","1","-","$5,302","$1,918,700","9","USA"
"17","17","Wall-E","$5,075","-8.1%","2","-","$2,538","$355,682","9","USA"
"-","7"," Astérix aux jeux olympiques","$1,793","-94.9%","2","-10","$897","$52,821","2","Belgium, France, Germany, Italy, Spain"
"-","18"," Al Jazira","$1,584","-3.3%","1","-","$1,584","$212,108","8","Unknown"
"-","15"," Catacombs","$1,303","-84.3%","1","-3","$1,303","$91,271","3","USA"
"-","19","The Incredible Hulk","$1,157","-26.2%","1","-","$1,157","$1,775,305","11","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Hellboy II: The Golden Army","$414,033","-","20","-","$20,702","$516,794","1","Germany, USA"
"2","N"," Journey to the Center of the Earth","$205,970","-","18","-","$11,443","$205,970","1","USA"
"3","2","The Mummy: Tomb of the Dragon Emperor","$125,981","-56.2%","18","-7","$6,999","$1,784,644","3","Canada, Germany, USA"
"4","1","Tropic Thunder","$110,670","-64.9%","18","-2","$6,148","$572,941","2","Germany, USA"
"5","N","Feel the Noise","$94,506","-","14","-","$6,750","$130,951","1","USA"
"6","4","The Dark Knight","$62,675","-38.3%","6","-4","$10,446","$2,330,917","5","USA"
"7","N"," Astérix aux jeux olympiques","$35,180","-","12","-","$2,932","$51,028","1","Belgium, France, Germany, Italy, Spain"
"8","3","Mirrors","$27,101","-77.7%","5","-14","$5,420","$216,922","2","Romania, USA"
"9","N"," Akher eldonia","$25,973","-","15","-","$1,732","$36,728","1","Unknown"
"10","7","Wanted","$15,290","-51.5%","3","-3","$5,097","$1,747,740","6","Germany, USA"
"11","8","Hancock","$10,255","-52.8%","1","-2","$10,255","$1,907,740","8","USA"
"12","12","Mamma Mia!","$10,084","+16.7%","1","-1","$10,084","$343,113","7","Germany, UK, USA"
"13","9","The Love Guru","$9,762","-48.9%","2","-5","$4,881","$399,510","4","Canada, Germany, USA"
"14","14","Kung Fu Panda","$9,545","+147.6%","2","-1","$4,773","$1,736,284","11","USA"
"15","5"," Catacombs","$8,290","-85.0%","4","-8","$2,073","$89,968","2","USA"
"16","11","Space Chimps","$8,261","-25.3%","13","+8","$635","$141,429","4","USA"
"17","13","Wall-E","$5,524","-26.5%","2","-","$2,762","$350,608","8","USA"
"18","17"," Al Jazira","$1,638","-33.8%","1","-","$1,638","$210,523","7","Unknown"
"19","15","The Incredible Hulk","$1,568","-48.9%","1","-","$1,568","$1,774,148","10","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Tropic Thunder","$315,361","-","20","-","$15,768","$413,267","1","Germany, USA"
"2","1","The Mummy: Tomb of the Dragon Emperor","$287,451","-71.2%","25","-12","$11,498","$1,612,608","2","Canada, Germany, USA"
"3","N","Mirrors","$121,549","-","19","-","$6,397","$175,108","1","Romania, USA"
"4","2","The Dark Knight","$101,513","-41.4%","10","-10","$10,151","$2,237,292","4","USA"
"5","N"," Catacombs","$55,401","-","12","-","$4,617","$76,773","1","USA"
"6","N"," Alawela Fil Gharam","$34,182","-","18","-","$1,899","$48,822","1","Unknown"
"7","4","Wanted","$31,527","-43.9%","6","-9","$5,255","$1,724,868","5","Germany, USA"
"8","8","Hancock","$21,742","-12.7%","3","-","$7,247","$1,885,713","7","USA"
"9","3","The Love Guru","$19,089","-68.4%","7","-12","$2,727","$386,143","3","Canada, Germany, USA"
"10","N"," Le Concile de Pierre","$14,056","-","8","-","$1,757","$20,800","1","France"
"11","11","Space Chimps","$11,057","-28.2%","5","-12","$2,211","$128,773","3","USA"
"12","12","Mamma Mia!","$8,641","-39.8%","2","-1","$4,321","$328,762","6","Germany, UK, USA"
"13","14","Wall-E","$7,514","+16.5%","2","-","$3,757","$342,270","7","USA"
"14","13","Kung Fu Panda","$3,855","-56.3%","3","-4","$1,285","$1,723,015","10","USA"
"15","17","The Incredible Hulk","$3,067","+18.1%","1","-","$3,067","$1,771,910","9","USA"
"16","10"," Heena Maysara","$2,535","-85.5%","1","-9","$2,535","$156,421","3","Unknown"
"17","16"," Al Jazira","$2,476","-9.8%","1","-","$2,476","$208,196","6","Unknown"
"18","18","Iron Man","$1,390","-29.8%","1","-","$1,390","$1,841,925","16","USA"
"19","6","Blonde and Blonder","$766","-97.9%","1","-7","$766","$56,488","2","Canada"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Mummy: Tomb of the Dragon Emperor","$998,584","-","37","-","$26,989","$1,230,906","1","Canada, Germany, USA"
"2","1","The Dark Knight","$173,225","-60.2%","20","-9","$8,661","$2,088,412","3","USA"
"3","2","The Love Guru","$60,443","-70.9%","19","+1","$3,181","$356,366","2","Canada, Germany, USA"
"4","4","Wanted","$56,179","-59.5%","15","-1","$3,745","$1,676,313","4","Germany, USA"
"5","N"," Hallat Hob","$40,832","-","15","-","$2,722","$60,140","1","Unknown"
"6","N","Blonde and Blonder","$36,872","-","8","-","$4,609","$55,354","1","Canada"
"7","3","The X-Files: I Want to Believe","$27,496","-84.6%","17","-2","$1,617","$261,559","2","Canada, USA"
"8","8","Hancock","$24,904","-39.8%","3","-1","$8,301","$1,849,323","6","USA"
"9","N","Married Life","$22,633","-","7","-","$3,233","$33,713","1","Canada, USA"
"10","5"," Heena Maysara","$17,483","-81.3%","10","-9","$1,748","$152,654","2","Unknown"
"11","6","Space Chimps","$15,402","-72.6%","17","+1","$906","$111,091","2","USA"
"12","9","Mamma Mia!","$14,342","-41.8%","3","-","$4,781","$315,696","5","Germany, UK, USA"
"13","12","Kung Fu Panda","$8,825","-25.4%","7","+3","$1,261","$1,716,664","9","USA"
"14","11","Wall-E","$6,451","-52.2%","2","-1","$3,226","$330,977","6","USA"
"15","10","Get Smart","$3,596","-80.8%","1","-1","$3,596","$752,725","5","USA"
"16","14"," Al Jazira","$2,744","-72.6%","1","-1","$2,744","$204,849","5","Unknown"
"17","16","The Incredible Hulk","$2,596","-53.6%","1","-","$2,596","$1,767,844","8","USA"
"18","18","Iron Man","$1,981","-21.9%","1","-","$1,981","$1,839,737","15","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Dark Knight","$435,546","-54.0%","29","-4","$15,019","$1,840,383","2","USA"
"2","N","The Love Guru","$207,799","-","18","-","$11,544","$266,977","1","Canada, Germany, USA"
"3","N","The X-Files: I Want to Believe","$178,671","-","19","-","$9,404","$219,906","1","Canada, USA"
"4","2","Wanted","$138,586","-39.3%","16","-6","$8,662","$1,592,356","3","Germany, USA"
"5","N"," Heena Maysara","$93,351","-","19","-","$4,913","$125,699","1","Unknown"
"6","N","Space Chimps","$56,186","-","16","-","$3,512","$84,265","1","USA"
"7","N","All the Boys Love Mandy Lane","$53,267","-","9","-","$5,919","$77,035","1","USA"
"8","6","Hancock","$41,397","-15.3%","4","-1","$10,349","$1,802,797","5","USA"
"9","8","Mamma Mia!","$24,654","-15.6%","3","-4","$8,218","$292,788","4","Germany, UK, USA"
"10","7","Get Smart","$18,699","-53.3%","2","-5","$9,350","$746,830","4","USA"
"11","10","Wall-E","$13,499","+8.5%","3","-1","$4,500","$320,357","5","USA"
"12","9","Kung Fu Panda","$11,823","-15.1%","4","-3","$2,956","$1,702,264","8","USA"
"13","4"," BloodRayne II: Deliverance","$11,573","-80.5%","10","-4","$1,157","$103,471","2","Unknown"
"14","11"," Al Jazira","$10,028","+14.0%","2","-2","$5,014","$200,969","4","Unknown"
"15","3","Superhero Movie","$8,371","-87.9%","3","-15","$2,790","$114,921","2","USA"
"16","12","The Incredible Hulk","$5,600","+50.5%","1","-","$5,600","$1,763,334","7","USA"
"17","5"," Bahr Al Nujoom (Sea Of Stars)","$5,084","-90.0%","4","-13","$1,271","$82,261","2","Unknown"
"18","15","Iron Man","$2,536","+22.6%","1","-","$2,536","$1,836,114","14","USA"
"19","13","Indiana Jones and the Kingdom of the Crystal Skull","$2,302","-16.0%","1","-","$2,302","$1,496,148","11","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Dark Knight","$947,564","-","33","-","$28,714","$947,564","1","USA"
"2","1","Wanted","$228,406","-73.6%","22","-13","$10,382","$1,407,583","2","Germany, USA"
"3","N","Superhero Movie","$69,425","-","18","-","$3,857","$102,662","1","USA"
"4","N"," BloodRayne II: Deliverance","$59,256","-","14","-","$4,233","$87,903","1","Unknown"
"5","N"," Bahr Al Nujoom (Sea Of Stars)","$51,042","-","17","-","$3,002","$73,991","1","Unknown"
"6","3","Hancock","$48,865","-57.1%","5","-11","$9,773","$1,730,974","4","USA"
"7","2","Get Smart","$40,006","-68.4%","7","-10","$5,715","$690,139","3","USA"
"8","5","Mamma Mia!","$29,220","-34.8%","7","-8","$4,174","$257,236","3","Germany, UK, USA"
"9","7","Kung Fu Panda","$13,921","-55.7%","7","-2","$1,989","$1,685,172","7","USA"
"10","-","Wall-E","$12,442","-48.3%","4","-2","$3,111","$300,636","4","USA"
"11","8"," Al Jazira","$8,798","-70.2%","4","-5","$2,200","$186,761","3","Unknown"
"12","-","The Incredible Hulk","$3,720","-48.0%","1","-1","$3,720","$1,755,859","6","USA"
"13","-","Indiana Jones and the Kingdom of the Crystal Skull","$2,740","-22.6%","1","-","$2,740","$1,493,241","10","USA"
"14","4","D-War (Dragon Wars)","$2,449","-95.1%","5","-13","$490","$346,085","3","South Korea"
"15","-","Iron Man","$2,068","-24.7%","1","-","$2,068","$1,832,607","13","USA"
"16","-","The Ruins","$384","-80.8%","1","-","$384","$175,807","4","Australia, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Wanted","$863,546","-","35","-","$24,673","$863,546","1","Germany, USA"
"2","1","Get Smart","$126,402","-64.8%","17","-2","$7,435","$650,133","2","USA"
"3","2","Hancock","$113,836","-60.1%","16","-6","$7,115","$1,631,911","3","USA"
"4","3","D-War (Dragon Wars)","$49,674","-76.0%","18","-","$2,760","$315,029","2","South Korea"
"5","5","Mamma Mia!","$44,804","-55.3%","15","-4","$2,987","$188,454","2","Germany, UK, USA"
"6","4","Meet Dave","$44,261","-71.6%","9","-10","$4,918","$279,590","2","USA"
"7","8","Kung Fu Panda","$31,408","-31.4%","9","+4","$3,490","$1,649,019","6","USA"
"8","6"," Al Jazira","$29,532","-68.2%","9","-6","$3,281","$160,277","2","Unknown"
"-","7","Wall-E","$24,057","-49.4%","6","-4","$4,010","$280,221","3","USA"
"-","N","Funny Games","$23,135","-","8","-","$2,892","$35,042","1","Austria, France, Germany, Italy, UK, USA"
"-","N","El Cantante","$14,930","-","10","-","$1,493","$14,930","1","USA"
"-","9","The Incredible Hulk","$7,149","-79.6%","2","-5","$3,575","$1,746,717","5","USA"
"-","14","Indiana Jones and the Kingdom of the Crystal Skull","$3,538","-6.2%","1","-","$3,538","$1,488,239","9","USA"
"-","15","Iron Man","$2,747","-5.3%","1","-","$2,747","$1,828,082","12","USA"
"-","11","The Ruins","$2,002","-87.5%","1","-6","$2,002","$174,288","3","Australia, USA"
"-","10","The Long Weekend","$841","-97.3%","1","-15","$841","$47,481","2","Canada, UK, USA"
"-","18","Son of Rambow","$57","-56.5%","1","-","$57","$54,955","4","France, UK"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Get Smart","$359,228","-","19","-","$18,907","$470,600","1","USA"
"2","1","Hancock","$285,292","-68.0%","22","-6","$12,968","$1,414,354","2","USA"
"3","N","D-War (Dragon Wars)","$206,773","-","18","-","$11,487","$265,355","1","South Korea"
"4","N","Meet Dave","$155,720","-","19","-","$8,196","$212,026","1","USA"
"5","N","Mamma Mia!","$100,185","-","19","-","$5,273","$143,649","1","Germany, UK, USA"
"6","N"," Al Jazira","$92,897","-","15","-","$6,193","$130,745","1","Unknown"
"7","2","Wall-E","$47,541","-58.9%","10","-5","$4,754","$244,175","2","USA"
"8","5","Kung Fu Panda","$45,758","-42.3%","5","-11","$9,152","$1,617,612","5","USA"
"9","3","The Incredible Hulk","$35,121","-67.6%","7","-11","$5,017","$1,739,568","4","USA"
"10","N","The Long Weekend","$31,007","-","16","-","$1,938","$46,640","1","Canada, UK, USA"
"11","4","The Ruins","$16,058","-85.1%","7","-12","$2,294","$172,285","2","Australia, USA"
"12","6"," Khareg Aan El Kanoun","$8,785","-88.9%","4","-12","$2,196","$119,390","2","Unknown"
"13","7"," Al Rayes Omar Harb","$3,882","-83.3%","1","-5","$3,882","$307,713","4","Unknown"
"14","13","Indiana Jones and the Kingdom of the Crystal Skull","$3,773","-25.6%","1","-","$3,773","$1,484,701","8","USA"
"15","17","Iron Man","$2,902","-8.3%","1","-","$2,902","$1,825,335","11","USA"
"16","15","The Forbidden Kingdom","$1,650","-54.5%","1","-","$1,650","$1,252,955","7","USA"
"17","16","The Chronicles of Narnia: Prince Caspian","$971","-69.6%","1","-","$971","$821,978","6","UK, USA"
"18","19","Son of Rambow","$131","-92.3%","1","-3","$131","$54,898","3","France, UK"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Hancock","$890,293","-","28","-","$31,796","$890,293","1","USA"
"2","N","Wall-E","$115,644","-","15","-","$7,710","$115,644","1","USA"
"3","1","The Incredible Hulk","$108,478","-67.2%","18","-6","$6,027","$1,642,841","3","USA"
"4","N","The Ruins","$107,859","-","19","-","$5,677","$107,859","1","Australia, USA"
"5","2","Kung Fu Panda","$79,358","-55.1%","16","-2","$4,960","$1,513,283","4","USA"
"6","N"," Khareg Aan El Kanoun","$79,060","-","16","-","$4,941","$79,060","1","Unknown"
"7","7"," Al Rayes Omar Harb","$23,194","-57.8%","6","-2","$3,866","$290,539","3","Unknown"
"8","3","The Strangers","$19,776","-87.3%","12","-7","$1,648","$228,694","2","USA"
"9","N","My Blueberry Nights","$10,842","-","2","-","$5,421","$10,842","1","China, France, HK"
"10","5","Semi-Pro","$9,414","-86.3%","6","-13","$1,569","$105,409","2","USA"
"11","8"," Keda Reda","$9,299","-74.9%","3","-6","$3,100","$900,298","5","Unknown"
"12","4"," W Delta Z (a.k.a. Waz)","$7,176","-91.7%","6","-8","$1,196","$126,931","2","UK, USA"
"13","13","Indiana Jones and the Kingdom of the Crystal Skull","$5,069","-38.3%","1","-1","$5,069","$1,478,207","7","USA"
"14","6"," Volkodav iz roda serykh psov (The Wolfhound)","$4,967","-92.7%","10","-8","$497","$100,475","2","Russia"
"15","12","The Forbidden Kingdom","$3,628","-57.3%","1","-2","$3,628","$1,248,592","6","USA"
"16","10","The Chronicles of Narnia: Prince Caspian","$3,193","-84.9%","1","-2","$3,193","$818,402","5","UK, USA"
"17","15","Iron Man","$3,166","-47.9%","1","-","$3,166","$1,819,438","10","USA"
"18","16","The Bank Job","$1,736","-56.9%","1","-","$1,736","$351,672","5","UK"
"19","9","Son of Rambow","$1,692","-95.3%","4","-10","$423","$53,710","2","France, UK"
"20","14","I Could Never Be Your Woman","$715","-89.0%","1","-1","$715","$91,147","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Incredible Hulk","$330,569","-61.1%","24","-10","$13,774","$1,415,150","2","USA"
"2","2","Kung Fu Panda","$176,753","-42.1%","18","-1","$9,820","$1,357,024","3","USA"
"3","N","The Strangers","$155,854","-","19","-","$8,203","$155,854","1","USA"
"4","N"," W Delta Z (a.k.a. Waz)","$86,375","-","14","-","$6,170","$86,375","1","UK, USA"
"5","N","Semi-Pro","$68,634","-","19","-","$3,612","$68,634","1","USA"
"6","N"," Volkodav iz roda serykh psov (The Wolfhound)","$68,352","-","18","-","$3,797","$95,313","1","Russia"
"7","3"," Al Rayes Omar Harb","$55,020","-55.9%","8","-4","$6,878","$239,988","2","Unknown"
"8","4"," Keda Reda","$37,030","-48.8%","9","-7","$4,114","$871,321","4","Unknown"
"9","N","Son of Rambow","$35,696","-","14","-","$2,550","$35,696","1","France, UK"
"10","7","The Chronicles of Narnia: Prince Caspian","$21,136","-58.5%","3","-8","$7,045","$805,261","4","UK, USA"
"11","5","The Happening","$10,377","-81.7%","3","-13","$3,459","$399,609","3","India, USA"
"12","9","The Forbidden Kingdom","$8,489","-66.4%","3","-10","$2,830","$1,242,595","5","USA"
"13","10","Indiana Jones and the Kingdom of the Crystal Skull","$8,218","-54.0%","2","-1","$4,109","$1,470,492","6","USA"
"14","6","I Could Never Be Your Woman","$6,473","-88.1%","2","-13","$3,237","$87,545","2","USA"
"15","13","Iron Man","$6,075","+39.2%","1","-","$6,075","$1,814,143","9","USA"
"16","11","The Bank Job","$4,029","-76.8%","1","-7","$4,029","$348,517","4","UK"
"17","N"," Al Turbini","$4,020","-","4","-","$1,005","$4,020","1","Unknown"
"18","12","What Happens in Vegas","$3,907","-60.2%","1","-1","$3,907","$695,647","7","USA"
"19","8","Never Back Down","$2,348","-92.0%","1","-17","$2,348","$271,048","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Incredible Hulk","$848,661","-","34","-","$24,961","$848,661","1","USA"
"2","1","Kung Fu Panda","$305,069","-46.4%","19","-","$16,056","$1,067,788","2","USA"
"3","N"," Al Rayes Omar Harb","$124,659","-","12","-","$10,388","$124,659","1","Unknown"
"4","3"," Keda Reda","$72,385","-59.4%","16","-","$4,524","$797,089","3","Unknown"
"5","2","The Happening","$56,581","-76.2%","16","-3","$3,536","$361,991","2","India, USA"
"6","N","I Could Never Be Your Woman","$54,563","-","15","-","$3,638","$54,563","1","USA"
"7","5","The Chronicles of Narnia: Prince Caspian","$50,915","-63.2%","11","-9","$4,629","$767,162","3","UK, USA"
"8","4","Never Back Down","$29,459","-81.7%","18","-1","$1,637","$248,312","2","USA"
