" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Sherlock Holmes: A Game of Shadows","WB","$904,774","-","45","-","$20,106","$904,774","1"
"2","1","Mission: Impossible - Ghost Protocol","UIP","$487,506","-45.2%","35","+2","$13,929","$5,137,796","3"
"3","N","Hugo","Gulf","$162,242","-","42","-","$3,863","$244,949","1"
"4","N","Trespass (2011)","Gulf","$149,639","-","24","-","$6,235","$211,648","1"
"5","2","Alvin and the Chipmunks: Chipwrecked","Fox","$139,546","-29.5%","18","-6","$7,753","$993,865","3"
"6","3","New Year's Eve","WB","$99,287","-46.4%","14","-7","$7,092","$398,031","2"
"7","4","Arthur Christmas","Sony","$52,370","-70.2%","12","-15","$4,364","$323,989","2"
"8","5","Warrior","Gulf","$30,116","-77.5%","15","-7","$2,008","$242,059","2"
"9","6"," Alibaba","Gulf","$11,126","-72.8%","9","-10","$1,236","$75,960","2"
"10","7","The Muppets","Disney","$9,569","-39.9%","3","-9","$3,190","$119,133","3"
"11","13","Puss in Boots","UIP","$7,898","+3.1%","2","-2","$3,949","$1,208,955","6"
"12","8","My Week with Marilyn","Italian","$3,349","-77.3%","1","-9","$3,349","$32,305","2"
"13","20","Johnny English Reborn","UIP","$2,838","+181.8%","1","-","$2,838","$2,170,397","12"
"14","15","The Twilight Saga: Breaking Dawn Part 1","Gulf","$2,340","-45.2%","1","-2","$2,340","$1,903,311","7"
"15","14","You Will Meet a Tall Dark Stranger","Gulf","$515","-92.6%","1","-14","$515","$55,113","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Mission: Impossible - Ghost Protocol","UIP","$890,330","-63.0%","33","-46","$26,980","$4,457,791","2"
"2","2","Alvin and the Chipmunks: Chipwrecked","Fox","$197,938","-26.8%","24","-3","$8,247","$772,837","2"
"3","N","New Year's Eve","WB","$185,331","-","21","-","$8,825","$298,743","1"
"4","N","Arthur Christmas","Sony","$175,486","-","27","-","$6,499","$175,486","1"
"5","N","Warrior","Gulf","$133,924","-","22","-","$6,087","$196,405","1"
"6","N"," Alibaba","Gulf","$40,865","-","19","-","$2,151","$60,667","1"
"7","5","The Muppets","Disney","$15,912","-63.8%","12","-12","$1,326","$103,029","2"
"8","N","My Week with Marilyn","Italian","$14,744","-","10","-","$1,474","$26,769","1"
"9","4","Jack and Jill","Sony","$11,127","-84.1%","5","-10","$2,225","$744,950","4"
"10","3","Happy Feet Two","WB","$11,032","-85.2%","1","-18","$11,032","$442,910","3"
"11","7"," Black Gold (2011)","WB","$7,978","-76.0%","3","-9","$2,659","$631,903","4"
"12","13"," Seeking Justice","Italian","$7,864","+25.3%","1","-1","$7,864","$471,768","5"
"13","6","Puss in Boots","UIP","$7,663","-77.2%","4","-11","$1,916","$1,197,654","5"
"14","8","You Will Meet a Tall Dark Stranger","Gulf","$6,918","-74.2%","15","+3","$461","$54,248","2"
"15","10","The Twilight Saga: Breaking Dawn Part 1","Gulf","$4,266","-72.1%","3","-10","$1,422","$1,899,244","6"
"16","N"," Santa's Apprentice","Gulf","$3,493","-","6","-","$582","$5,636","1"
"17","15"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$2,423","+10.9%","1","-","$2,423","$225,464","7"
"18","9","The Double","Gulf","$2,148","-90.8%","2","-19","$1,074","$272,049","3"
"19","11","Moneyball","Sony","$1,086","-90.6%","1","-3","$1,086","$78,578","3"
"20","16","Johnny English Reborn","UIP","$1,007","+4.5%","1","-","$1,007","$2,166,299","11"
"21","12","The Thing (2011)","Italian","$457","-94.6%","1","-13","$457","$158,525","3"
"22","14","Immortals","Gulf","$245","-94.3%","1","-1","$245","$1,597,077","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Mission: Impossible - Ghost Protocol","UIP","$2,407,466","-","79","-","$30,474","$2,407,466","1"
"2","N","Alvin and the Chipmunks: Chipwrecked","Fox","$270,263","-","27","-","$10,010","$270,263","1"
"3","1","Happy Feet Two","WB","$74,559","-70.1%","19","-16","$3,924","$375,791","2"
"4","3","Jack and Jill","Sony","$69,950","-57.2%","15","-5","$4,663","$691,086","3"
"5","N","The Muppets","Disney","$43,966","-","24","-","$1,832","$43,966","1"
"6","5","Puss in Boots","UIP","$33,675","-70.6%","15","-9","$2,245","$1,157,318","4"
"7","4"," Black Gold (2011)","WB","$33,166","-75.1%","12","-8","$2,764","$600,098","3"
"8","N","You Will Meet a Tall Dark Stranger","Gulf","$26,842","-","12","-","$2,237","$26,842","1"
"9","2","The Double","Gulf","$23,285","-86.6%","21","-","$1,109","$250,402","2"
"10","7","The Twilight Saga: Breaking Dawn Part 1","Gulf","$15,296","-68.1%","13","-5","$1,177","$1,882,540","5"
"11","8","Moneyball","Sony","$11,543","-75.9%","4","-4","$2,886","$72,410","2"
"12","6","The Thing (2011)","Italian","$8,490","-92.3%","14","-11","$606","$152,607","2"
"13","9"," Seeking Justice","Italian","$6,275","-74.7%","2","-4","$3,138","$454,403","4"
"14","10","Immortals","Gulf","$4,271","-77.3%","2","-3","$2,136","$1,596,734","6"
"15","13"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$2,184","-73.5%","1","-2","$2,184","$218,835","6"
"16","14","Johnny English Reborn","UIP","$964","-81.0%","1","-1","$964","$2,163,323","10"
"17","17","The Adventures of Tintin","Sony","$791","-80.0%","1","-2","$791","$1,641,692","7"
"18","11","Passion Play","Gulf","$294","-98.0%","1","-21","$294","$21,605","2"
"19","12","Machine Gun Preacher","Gulf","$207","-97.8%","1","-3","$207","$256,492","4"
"20","18"," Intruders","UIP","$74","-98.1%","1","-3","$74","$87,008","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Happy Feet Two","WB","$249,080","-","35","-","$7,117","$249,080","1"
"2","N","The Double","Gulf","$173,140","-","21","-","$8,245","$173,140","1"
"3","1","Jack and Jill","Sony","$163,597","-48.6%","20","-5","$8,180","$566,471","2"
"4","2"," Black Gold (2011)","WB","$133,066","-54.4%","20","-8","$6,653","$524,701","2"
"5","3","Puss in Boots","UIP","$114,677","-60.0%","24","-9","$4,778","$1,096,106","3"
"6","N","The Thing (2011)","Italian","$109,669","-","25","-","$4,387","$109,669","1"
"7","4","The Twilight Saga: Breaking Dawn Part 1","Gulf","$47,920","-61.6%","18","-6","$2,662","$1,849,995","4"
"8","N","Moneyball","Sony","$47,832","-","8","-","$5,979","$47,832","1"
"9","5"," Seeking Justice","Italian","$24,809","-68.4%","6","-14","$4,135","$438,096","3"
"10","8","Immortals","Gulf","$18,850","-50.1%","5","-3","$3,770","$1,582,798","5"
"11","N","Passion Play","Gulf","$14,916","-","22","-","$678","$14,916","1"
"12","11","Machine Gun Preacher","Gulf","$9,372","-58.3%","4","-7","$2,343","$252,351","3"
"13","14"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$8,235","-51.6%","3","-","$2,745","$212,746","5"
"14","15","Johnny English Reborn","UIP","$5,066","-53.9%","2","+1","$2,533","$2,160,036","9"
"15","12","Tower Heist","UIP","$4,840","-75.2%","3","-1","$1,613","$1,301,402","6"
"16","N"," Eza3et Hob","Gulf","$3,997","-","4","-","$999","$3,997","1"
"17","9","The Adventures of Tintin","Sony","$3,963","-89.2%","3","-4","$1,321","$1,528,546","6"
"18","6"," Intruders","UIP","$3,918","-93.4%","4","-21","$980","$85,311","2"
"19","7","Vanishing on 7th Street","Gulf","$2,789","-93.2%","2","-19","$1,395","$62,556","2"
"20","10"," El Ratón Pérez 2","n/a","$1,406","-95.5%","4","-20","$352","$36,533","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Jack and Jill","Sony","$318,165","-","25","-","$12,727","$318,165","1"
"2","N"," Black Gold (2011)","WB","$292,088","-","28","-","$10,432","$292,088","1"
"3","1","Puss in Boots","UIP","$286,643","-43.6%","33","-9","$8,686","$937,403","2"
"4","2","The Twilight Saga: Breaking Dawn Part 1","Gulf","$124,731","-62.4%","24","-2","$5,197","$1,765,016","3"
"5","3"," Seeking Justice","Italian","$78,423","-65.0%","20","-3","$3,921","$383,394","2"
"6","N"," Intruders","UIP","$59,112","-","25","-","$2,364","$59,112","1"
"7","N","Vanishing on 7th Street","Gulf","$41,222","-","21","-","$1,963","$41,222","1"
"8","5","Immortals","Gulf","$37,807","-66.7%","8","-13","$4,726","$1,549,818","4"
"9","6","The Adventures of Tintin","Sony","$36,754","-37.4%","7","-10","$5,251","$1,636,803","5"
"10","N"," El Ratón Pérez 2","n/a","$31,106","-","24","-","$1,296","$31,106","1"
"11","4","Machine Gun Preacher","Gulf","$22,486","-85.4%","11","-14","$2,044","$232,162","2"
"12","7","Tower Heist","UIP","$19,487","-60.8%","4","-2","$4,872","$1,289,541","5"
"13","N"," Shi yue wei cheng (Bodyguards and Assassins)","Gulf","$18,800","-","12","-","$1,567","$18,800","1"
"14","9"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$17,020","-37.1%","3","-1","$5,673","$195,452","4"
"15","11","Johnny English Reborn","UIP","$10,980","-32.2%","1","-2","$10,980","$2,150,960","8"
"16","8","Anonymous","Sony","$10,946","-68.5%","2","-7","$5,473","$60,215","2"
"17","-","Brighton Rock","n/a","$1,753","-","7","-","$250","$2,883","2"
"18","13"," Tak Tak Boom","Gulf","$1,359","-51.4%","1","-2","$1,359","$605,709","5"
"19","17","The Rum Diary","Gulf","$610","-3.8%","1","-","$610","$148,888","5"
"20","10","Don't Be Afraid of the Dark","Disney","$546","-96.9%","1","-12","$546","$135,903","3"
"21","16","Paranormal Activity 3","UIP","$376","-47.1%","1","-","$376","$383,629","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Puss in Boots","UIP","$508,538","-","42","-","$12,108","$650,742","1"
"2","1","The Twilight Saga: Breaking Dawn Part 1","Gulf","$331,677","-66.0%","26","-8","$12,757","$1,640,240","2"
"3","N"," Seeking Justice","Italian","$224,023","-","23","-","$9,740","$304,962","1"
"4","N","Machine Gun Preacher","Gulf","$154,018","-","25","-","$6,161","$209,671","1"
"5","2","Immortals","Gulf","$113,379","-59.8%","21","-19","$5,399","$1,511,970","3"
"6","3","The Adventures of Tintin","Sony","$58,662","-67.9%","17","-13","$3,451","$1,474,537","4"
"7","4","Tower Heist","UIP","$49,660","-57.6%","6","-15","$8,277","$1,270,020","4"
"8","N","Anonymous","Sony","$34,720","-","9","-","$3,858","$34,720","1"
"9","7"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$27,060","-22.5%","4","-1","$6,765","$178,427","3"
"10","5","Don't Be Afraid of the Dark","Disney","$17,558","-79.1%","13","-8","$1,351","$135,354","2"
"11","6","Johnny English Reborn","UIP","$16,196","-58.1%","3","-6","$5,399","$2,139,922","7"
"12","8","In Time","Fox","$5,504","-80.2%","1","-2","$5,504","$636,285","5"
"13","9"," Tak Tak Boom","Gulf","$2,797","-89.4%","3","-13","$932","$604,334","4"
"14","13","Contagion","WB","$2,301","-70.6%","1","-","$2,301","$445,055","6"
"15","10","Dolphin Tale","WB","$1,899","-89.5%","1","-6","$1,899","$343,061","4"
"16","17","Paranormal Activity 3","UIP","$711","-67.3%","1","-","$711","$383,243","6"
"17","16","The Rum Diary","Gulf","$634","-85.4%","1","-1","$634","$148,274","4"
"18","15","Real Steel","Disney","$572","-89.4%","1","-2","$572","$1,031,384","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Twilight Saga: Breaking Dawn Part 1","Gulf","$976,328","-","34","-","$28,716","$1,201,478","1"
"2","1","Immortals","Gulf","$281,879","-63.7%","40","-6","$7,047","$1,355,271","2"
"3","2","The Adventures of Tintin","Sony","$182,679","-28.0%","30","-","$6,089","$1,495,634","3"
"4","9","Tower Heist","UIP","$117,230","+601.2%","21","-3","$5,582","$1,199,093","3"
"5","N","Don't Be Afraid of the Dark","Disney","$83,865","-","21","-","$3,994","$109,637","1"
"6","4","Johnny English Reborn","UIP","$38,655","-34.5%","9","-1","$4,295","$2,118,010","6"
"7","5"," Et maintenant, on va où? (Where Do We Go Now?)","n/a","$34,914","-12.4%","5","-4","$6,983","$137,415","2"
"8","7","In Time","Fox","$27,784","-4.8%","3","-","$9,261","$630,738","4"
"9","3"," Tak Tak Boom","Gulf","$26,367","-60.6%","16","-6","$1,648","$600,151","3"
