" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Gulliver's Travels","Fox","$438,839","-","40","-","$10,971","$543,538","1"
"2","N"," Asal","Gulf","$325,797","-","21","-","$15,514","$439,855","1"
"3","2","Little Fockers","UIP","$145,488","-63.5%","29","-7","$5,017","$770,696","2"
"4","1","Tron Legacy","Disney","$136,476","-72.2%","29","-14","$4,706","$854,152","2"
"5","N","The Fighter","Gulf","$131,117","-","27","-","$4,856","$181,319","1"
"6","3","The Tourist","Gulf","$99,102","-45.6%","22","-5","$4,505","$1,851,283","4"
"7","4","Tangled","Disney","$63,472","-37.5%","10","-2","$6,347","$1,266,563","5"
"8","5","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$33,760","-61.7%","7","-10","$4,823","$966,954","4"
"9","N"," They Wait","Gulf","$27,454","-","11","-","$2,496","$38,440","1"
"10","6"," Open Season 3","n/a","$25,143","-59.4%","20","+4","$1,257","$135,686","2"
"11","11","Harry Potter and the Deathly Hallows (Part One)","WB","$11,933","-19.0%","2","-1","$5,967","$1,700,235","7"
"12","7"," The King of Fighters","Gulf","$11,359","-79.6%","13","-1","$874","$95,679","2"
"13","10"," Garfield's Pet Force","Gulf","$9,367","-43.2%","12","-10","$781","$150,886","3"
"14","9","Fair Game (2010)","Gulf","$7,717","-61.7%","4","-8","$1,929","$210,403","3"
"15","12","Life as We Know It","WB","$7,073","-43.3%","1","-2","$7,073","$418,635","5"
"16","13","Due Date","WB","$5,252","-50.2%","1","-1","$5,252","$1,041,044","9"
"17","8"," El Lembi 8 Giga","Gulf","$3,779","-92.6%","5","-10","$756","$848,702","5"
"18","18","Megamind","UIP","$1,542","-38.3%","1","-2","$1,542","$988,469","8"
"19","17","The Next Three Days","Gulf","$1,455","-60.7%","1","-1","$1,455","$512,480","6"
"20","15"," Lies & Illusions","Gulf","$814","-84.9%","1","-6","$814","$155,677","3"
"21","19","Skyline","Gulf","$566","-30.2%","1","-","$566","$324,877","5"
