" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"3","N","A Christmas Carol (2009)","n/a","$175,667","-","22","-","$7,985","$175,667","1"
"4","N"," Ip Man","Gulf","$100,130","-","20","-","$5,007","$100,130","1"
"5","N","Zombieland","Sony","$90,110","-","23","-","$3,918","$90,110","1"
"6","N","Next Day Air","Gulf","$65,804","-","10","-","$6,580","$65,804","1"
"7","3","Old Dogs","Disney","$64,167","-62.9%","12","-2","$5,347","$342,078","2"
"8","4","Planet 51","Gulf","$43,496","-73.5%","23","-1","$1,891","$313,840","2"
"9","5"," Bobos","Gulf","$16,152","-77.7%","15","+2","$1,077","$410,439","4"
"10","8","The Invention of Lying","UIP","$7,484","-66.6%","2","-7","$3,742","$157,934","3"
"11","9","The Box","Italian","$5,758","-69.1%","1","-4","$5,758","$130,494","3"
"12","6"," San suk si gin (Shinjuku Incident)","Gulf","$5,575","-89.2%","7","-10","$796","$254,991","3"
"13","7","Where the Wild Things Are","WB","$5,468","-87.6%","4","-8","$1,367","$83,266","2"
"14","12","Couples Retreat","UIP","$3,790","-54.6%","1","-1","$3,790","$451,464","6"
"15","15"," The Rebound","Gulf","$3,049","-44.5%","2","-","$1,525","$264,039","5"
"16","11"," The Tournament","Gulf","$1,869","-84.9%","1","-5","$1,869","$249,459","4"
"17","10"," Toy Story in 3D","Disney","$1,655","-87.5%","1","-2","$1,655","$133,009","6"
"18","18","Harry Potter and the Half Blood Prince","WB","$1,051","-46.8%","1","-","$1,051","$1,508,252","21"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Twilight Saga: New Moon","Gulf","$1,192,839","-","38","-","$31,391","$1,562,760","1"
"2","1","2012","Sony","$504,207","-26.2%","30","-6","$16,807","$2,891,388","3"
"3","N","Old Dogs","Disney","$173,058","-","14","-","$12,361","$277,930","1"
"4","N","Planet 51","Gulf","$163,960","-","24","-","$6,832","$270,362","1"
"5","4"," Bobos","Gulf","$72,258","-4.7%","13","-7","$5,558","$394,314","3"
"6","2"," San suk si gin (Shinjuku Incident)","Gulf","$51,380","-61.6%","17","-2","$3,022","$249,433","2"
"7","N","Where the Wild Things Are","WB","$44,071","-","12","-","$3,673","$77,804","1"
"8","3","The Invention of Lying","UIP","$22,431","-72.3%","9","-9","$2,492","$150,461","2"
"9","5","The Box","Italian","$18,624","-72.7%","5","-7","$3,725","$124,744","2"
"10","10"," Toy Story in 3D","Disney","$13,221","+40.8%","3","-","$4,407","$131,363","5"
"11","6"," The Tournament","Gulf","$12,366","-76.7%","6","-16","$2,061","$247,607","3"
"12","7","Couples Retreat","UIP","$8,354","-41.1%","2","-3","$4,177","$447,704","5"
