" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Death Sentence","$163,062","-","19","-","$8,582","$163,062","1","USA"
"2","1","National Treasure: Book of Secrets","$138,713","-61.4%","20","-3","$6,936","$760,574","2","USA"
"3","N","The Golden Compass","$136,034","-","4","-","$34,009","$136,034","1","UK, USA"
"4","N","Sydney White","$93,010","-","19","-","$4,895","$93,010","1","USA"
"-","3","Bee Movie","$69,123","-53.0%","17","-1","$4,066","$643,456","3","USA"
"-","2","30 Days of Night","$58,023","-71.4%","19","-","$3,054","$404,299","2","USA"
"-","4","Alvin and the Chipmunks","$40,275","-65.0%","15","-4","$2,685","$236,691","2","USA"
"-","N","The Assassination of Jesse James by the Coward Robert Ford","$33,966","-","6","-","$5,661","$33,996","1","USA"
"-","5","Hitman","$27,792","-73.7%","7","-12","$3,970","$617,973","3","France, USA"
"-","6","Fred Claus","$23,530","-72.6%","6","-8","$3,922","$169,663","2","Unknown"
"-","7","Mr. Magorium's Wonder Emporium","$13,173","-77.0%","12","-7","$1,098","$107,562","2","USA"
"-","9","Beowulf","$8,226","-38.9%","1","-","$8,226","$615,323","6","USA"
"-","8","Michael Clayton","$7,324","-70.8%","2","-4","$3,662","$156,031","3","USA"
"-","-","American Gangster","$3,959","-","1","-","$3,959","$508,018","5","USA"
"-","12","Elizabeth: The Golden Age","$2,750","-53.0%","1","-1","$2,750","$215,535","4","France, Germany, UK"
"-","11","Blind Dating","$1,689","-75.0%","1","-5","$1,689","$87,538","3","USA"
"-","16","The Kingdom","$1,296","-54.3%","1","-","$1,296","$1,185,715","12","Germany, USA"
"-","15","The Invisible","$336","-88.4%","1","-1","$336","$207,203","4","Unknown"
"-","19","In the Land of Women","$253","-64.3%","1","-","$253","$43,126","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","National Treasure: Book of Secrets","$359,099","-","23","-","$15,613","$621,861","1","USA"
"2","N","30 Days of Night","$203,119","-","19","-","$10,690","$346,276","1","USA"
"3","2","Bee Movie","$147,058","-41.2%","18","-2","$8,170","$574,333","2","USA"
"4","N","Alvin and the Chipmunks","$115,127","-","19","-","$6,059","$196,416","1","USA"
"5","1","Hitman","$105,584","-68.4%","19","-1","$5,557","$590,181","2","France, USA"
"6","N","Fred Claus","$86,004","-","14","-","$6,143","$146,133","1","Unknown"
"7","N","Mr. Magorium's Wonder Emporium","$57,231","-","19","-","$3,012","$94,389","1","USA"
"8","3","Michael Clayton","$25,063","-65.7%","6","-13","$4,177","$148,707","2","USA"
"9","10","Beowulf","$13,458","-18.0%","1","-1","$13,458","$607,097","5","USA"
"10","N","Across the Universe","$12,442","-","6","-","$2,074","$12,442","1","USA"
"11","4","Blind Dating","$6,744","-86.9%","6","-4","$1,124","$85,849","2","USA"
"12","7","Elizabeth: The Golden Age","$5,852","-81.4%","2","-14","$2,926","$212,786","3","France, Germany, UK"
"13","6","The Nanny Diaries","$3,478","-90.6%","1","-8","$3,478","$60,265","2","USA"
"14","8","The Game Plan","$3,042","-90.1%","1","-8","$3,042","$358,854","4","USA"
"15","5","The Invisible","$2,894","-93.3%","2","-16","$1,447","$206,866","3","Unknown"
"16","14","The Kingdom","$2,837","+81.3%","1","-","$2,837","$1,184,419","11","Germany, USA"
"17","18"," Khiana mashroaa","$1,941","+75.8%","1","-","$1,941","$132,510","5","Unknown"
"18","12","Delta Farce","$853","-65.6%","1","-","$853","$90,178","4","USA"
"19","13","In the Land of Women","$708","-66.6%","1","-","$708","$42,873","3","USA"
"20","16","The Last Mimzy","$300","-75.0%","1","-","$300","$25,208","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Hitman","$334,061","-","20","-","$16,703","$334,061","1","France, USA"
