" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Mission: Impossible - Ghost Protocol","UIP","$215,405","-44.3%","28","-3","$7,693","$1,308,615","3"
"2","1","Puss in Boots","UIP","$143,116","-75.3%","52","-5","$2,752","$1,325,531","2"
"3","3","Sherlock Holmes: A Game of Shadows","WB","$142,021","-48.2%","25","-","$5,681","$571,783","2"
"4","N","The Girl with the Dragon Tattoo (2011)","Sony","$134,308","-","20","-","$6,715","$134,308","1"
"5","6","New Year's Eve","WB","$86,610","-29.8%","23","-3","$3,766","$687,492","4"
"6","5","The Muppets","Disney","$59,603","-71.9%","33","+1","$1,806","$754,235","4"
"7","4","Happy Feet Two","WB","$50,023","-81.7%","53","-1","$944","$768,697","3"
"8","7","Jack and Jill","Sony","$39,728","-53.1%","14","-2","$2,838","$902,985","6"
"9","10","Tower Heist","UIP","$17,351","-41.9%","11","-2","$1,577","$1,178,790","9"
"10","13","Moneyball","Sony","$9,117","-36.1%","9","+1","$1,013","$285,543","7"
"11","8","Arthur Christmas","Sony","$7,176","-84.5%","15","-7","$478","$189,063","4"
"12","11","The Adventures of Tintin","Sony","$1,409","-93.3%","5","-2","$282","$552,221","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Puss in Boots","UIP","$580,149","-","57","-","$10,178","$659,998","1"
"2","1","Mission: Impossible - Ghost Protocol","UIP","$386,800","+3.1%","31","-","$12,477","$896,852","2"
"3","N","Sherlock Holmes: A Game of Shadows","WB","$274,037","-","25","-","$10,961","$298,885","1"
"4","4","Happy Feet Two","WB","$274,010","+207.1%","54","-4","$5,074","$477,165","2"
"5","3","The Muppets","Disney","$211,894","+119.7%","32","-1","$6,622","$543,237","3"
"6","2","New Year's Eve","WB","$123,409","-7.6%","26","-","$4,747","$533,853","3"
"7","5","Jack and Jill","Sony","$84,734","+17.3%","16","-2","$5,296","$802,250","5"
"8","7","Arthur Christmas","Sony","$46,223","+121.1%","22","-2","$2,101","$133,625","3"
"9","9","Dolphin Tale","WB","$32,267","+142.5%","12","-6","$2,689","$344,304","6"
"10","6","Tower Heist","UIP","$29,878","-23.4%","13","-1","$2,298","$1,163,240","8"
"11","10","The Adventures of Tintin","Sony","$21,081","+96.7%","7","-6","$3,012","$528,070","8"
"12","11","Johnny English Reborn","UIP","$15,740","+56.8%","11","+4","$1,431","$1,513,986","11"
"13","8","Moneyball","Sony","$14,274","-31.0%","8","-4","$1,784","$269,382","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Mission: Impossible - Ghost Protocol","UIP","$375,139","-","31","-","$12,101","$376,749","1"
"2","1","New Year's Eve","WB","$133,613","-15.3%","26","-","$5,139","$361,506","2"
"3","2","The Muppets","Disney","$96,453","-33.8%","33","+1","$2,923","$270,957","2"
"4","N","Happy Feet Two","WB","$89,221","-","58","-","$1,538","$131,461","1"
"5","3","Jack and Jill","Sony","$72,215","-34.9%","18","-4","$4,012","$683,807","4"
"6","4","Tower Heist","UIP","$38,988","-42.0%","14","-6","$2,785","$1,116,359","7"
"7","5","Arthur Christmas","Sony","$20,910","-53.0%","24","-2","$871","$74,517","2"
"8","6","Moneyball","Sony","$20,679","-24.2%","12","-2","$1,723","$248,268","5"
"9","7","Dolphin Tale","WB","$13,306","-42.7%","18","-7","$739","$305,265","5"
"10","9","The Adventures of Tintin","Sony","$10,720","-25.2%","13","-5","$825","$500,094","7"
"11","8","Johnny English Reborn","UIP","$10,040","-38.7%","7","-1","$1,434","$1,491,675","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","New Year's Eve","WB","$157,689","-","26","-","$6,065","$157,689","1"
