" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"4","2","Michael Jackson's This Is It","Sony","$37,008","-46.2%","15","-","$2,467","$125,150","2"
"5","3"," Cloudy with a Chance of Meatballs","Sony","$34,076","-42.6%","20","-","$1,704","$1,298,941","6"
"6","7","Surrogates","Disney","$17,054","-31.4%","14","-3","$1,218","$576,144","7"
"7","6","Toy Story 2 (3D)","Disney","$15,466","-50.6%","11","-3","$1,406","$51,494","2"
"8","8","The Final Destination","WB","$11,587","-36.1%","6","-1","$1,931","$691,132","9"
"9","9","The Hangover","WB","$10,354","-18.4%","12","-","$863","$1,737,386","15"
"10","11","G-Force","Disney","$9,389","-13.5%","23","-","$408","$1,057,521","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Inglourious Basterds","UIP","$116,111","-6.6%","26","+1","$4,466","$1,779,319","7"
"2","N","Michael Jackson's This Is It","Sony","$68,816","-","15","-","$4,588","$68,816","1"
"3","4"," Cloudy with a Chance of Meatballs","Sony","$59,311","+8.5%","20","-1","$2,966","$1,259,990","5"
"4","3","My Sister's Keeper","WB","$58,650","-12.0%","16","-","$3,666","$621,628","5"
"5","2","Julie & Julia","Sony","$57,444","-19.0%","13","-","$4,419","$382,758","4"
"6","N","Toy Story 2 (3D)","Disney","$31,308","-","14","-","$2,236","$31,308","1"
"7","5","Surrogates","Disney","$24,869","-28.6%","17","-3","$1,463","$554,711","6"
"8","6","The Final Destination","WB","$18,120","-9.7%","7","-","$2,589","$676,330","8"
"9","7","The Hangover","WB","$12,685","+0.6%","12","-1","$1,057","$1,724,325","14"
"10","8","Up","Disney","$11,210","+18.1%","26","+2","$431","$3,599,407","15"
"11","10","G-Force","Disney","$10,853","+27.0%","23","-1","$472","$1,047,282","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Inglourious Basterds","UIP","$124,302","-14.2%","25","-1","$4,972","$1,624,447","6"
"2","3","Julie & Julia","Sony","$70,931","-7.6%","13","+3","$5,456","$301,190","3"
"3","2","My Sister's Keeper","WB","$66,680","-14.6%","16","-","$4,168","$537,572","4"
"4","4"," Cloudy with a Chance of Meatballs","Sony","$54,686","-23.9%","21","-","$2,604","$1,190,173","4"
"5","5","Surrogates","Disney","$34,845","-19.8%","20","-3","$1,742","$520,664","5"
"6","7","The Final Destination","WB","$20,059","-29.2%","7","-","$2,866","$654,927","7"
"7","8","The Hangover","WB","$12,606","-4.7%","13","+1","$970","$1,709,387","13"
"8","6","Up","Disney","$9,492","-67.6%","24","-2","$396","$3,589,586","14"
"9","9"," Toy Story in 3D","Disney","$8,951","-16.0%","11","-","$814","$159,522","4"
"10","11","G-Force","Disney","$8,546","+2.3%","24","+1","$356","$1,035,986","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Inglourious Basterds","UIP","$144,833","-28.2%","26","-3","$5,571","$1,461,250","5"
"2","3","My Sister's Keeper","WB","$78,107","-27.2%","16","-","$4,882","$444,992","3"
"3","4","Julie & Julia","Sony","$76,750","-22.5%","10","-","$7,675","$204,437","2"
"4","1"," Cloudy with a Chance of Meatballs","Sony","$71,842","-74.6%","21","-","$3,421","$1,122,311","3"
"5","5","Surrogates","Disney","$43,435","-42.0%","23","-1","$1,888","$473,480","4"
"6","7","Up","Disney","$29,279","-33.1%","26","-4","$1,126","$3,578,198","13"
"7","8","The Final Destination","WB","$28,313","-33.7%","7","-6","$4,045","$630,122","6"
"8","10","The Hangover","WB","$13,221","-51.1%","12","-5","$1,102","$1,693,532","12"
"9","6"," Toy Story in 3D","Disney","$10,658","-76.4%","11","-1","$969","$149,676","3"
"10","11","The Time Traveler's Wife","Forum Films","$9,121","-41.2%","9","-3","$1,013","$448,482","9"
"11","9","G-Force","Disney","$8,355","-74.2%","23","-","$363","$1,025,434","10"
"12","12","The Ugly Truth","Sony","$6,192","-50.2%","9","-1","$688","$673,793","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2"," Cloudy with a Chance of Meatballs","Sony","$283,172","+53.5%","21","-","$13,484","$1,037,032","2"
"2","1","Inglourious Basterds","UIP","$201,763","-14.3%","29","-","$6,957","$1,246,948","4"
"3","3","My Sister's Keeper","WB","$107,280","-7.5%","16","-","$6,705","$325,429","2"
"4","N","Julie & Julia","Sony","$99,037","-","10","-","$9,904","$99,037","1"
"5","4","Surrogates","Disney","$74,817","-23.7%","24","-1","$3,117","$411,165","3"
"6","6"," Toy Story in 3D","Disney","$45,214","+29.1%","12","-3","$3,768","$137,086","2"
"7","7","Up","Disney","$43,789","+43.0%","30","-3","$1,460","$3,500,228","12"
"8","5","The Final Destination","WB","$42,673","-25.8%","13","-3","$3,283","$591,409","5"
"9","9","G-Force","Disney","$32,332","+57.8%","23","-1","$1,406","$1,016,200","9"
"10","8","The Hangover","WB","$27,032","-10.3%","17","-2","$1,590","$1,674,068","11"
"11","10","The Time Traveler's Wife","Forum Films","$15,519","-19.1%","12","-1","$1,293","$434,295","8"
"12","11","The Ugly Truth","Sony","$12,430","-26.3%","10","-5","$1,243","$663,668","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Inglourious Basterds","UIP","$235,512","+6.4%","29","-","$8,121","$921,580","3"
"2","N"," Cloudy with a Chance of Meatballs","Sony","$184,439","-","21","-","$8,783","$402,844","1"
"3","N","My Sister's Keeper","WB","$115,921","-","16","-","$7,245","$117,681","1"
"4","2","Surrogates","Disney","$98,025","-27.4%","25","-","$3,921","$268,806","2"
