" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Little Fockers","UIP","$176,080","-12.7%","28","-","$6,289","$459,510","2"
"2","N","Gulliver's Travels","Fox","$99,465","-","22","-","$4,521","$99,465","1"
"3","2","Tron Legacy","Disney","$90,371","-44.6%","22","-","$4,108","$678,003","3"
"4","3","Tangled","Disney","$85,594","-0.1%","38","-1","$2,252","$1,884,788","6"
"5","4","Due Date","WB","$73,666","-7.9%","24","-3","$3,069","$1,112,589","5"
"6","6","Megamind","UIP","$47,429","+0.9%","31","-2","$1,530","$1,045,235","5"
"7","7","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$40,273","-10.5%","29","-7","$1,389","$627,754","4"
"8","5","Harry Potter and the Deathly Hallows (Part One)","WB","$31,900","-33.3%","36","-","$886","$2,371,310","7"
"9","8","Paranormal Activity 2","UIP","$19,188","-35.2%","14","-1","$1,371","$200,772","4"
"10","9","The Social Network","Sony","$15,755","-43.7%","15","+4","$1,050","$1,168,369","10"
"11","10","Life as We Know It","WB","$15,074","-28.7%","7","-8","$2,153","$711,463","9"
"12","11","Jackass 3-D","UIP","$12,939","-34.8%","7","-1","$1,848","$654,910","8"
"13","12","The Town","WB","$11,869","-8.8%","8","-2","$1,484","$1,173,541","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Little Fockers","UIP","$201,725","-","28","-","$7,204","$201,725","1"
"2","1","Tron Legacy","Disney","$163,015","-44.1%","22","-","$7,410","$521,250","2"
"3","3","Tangled","Disney","$85,685","-21.7%","39","-8","$2,197","$1,710,727","5"
"4","2","Due Date","WB","$79,981","-46.5%","27","-","$2,962","$975,289","4"
"5","4","Harry Potter and the Deathly Hallows (Part One)","WB","$47,804","-40.1%","36","-","$1,328","$2,244,607","6"
"6","5","Megamind","UIP","$47,021","-29.5%","33","-22","$1,425","$952,071","4"
"7","6","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$44,985","-30.6%","36","-1","$1,250","$554,401","3"
"8","7","Paranormal Activity 2","UIP","$29,624","-38.8%","15","-","$1,975","$170,134","3"
"9","9","The Social Network","Sony","$28,003","-8.5%","11","-5","$2,546","$1,144,151","9"
"10","8","Life as We Know It","WB","$21,133","-32.7%","15","-1","$1,409","$662,729","8"
"11","10","Jackass 3-D","UIP","$19,829","-34.3%","8","-1","$2,479","$605,113","7"
"12","11","The Town","WB","$13,013","-38.2%","10","-","$1,301","$1,103,525","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Tron Legacy","Disney","$291,787","-","22","-","$13,263","$291,787","1"
"2","3","Due Date","WB","$149,391","-30.2%","27","-","$5,533","$855,080","3"
"3","1","Tangled","Disney","$109,398","-65.0%","47","-1","$2,328","$1,602,471","4"
"4","4","Harry Potter and the Deathly Hallows (Part One)","WB","$79,794","-54.1%","36","-","$2,217","$2,175,297","5"
"5","2","Megamind","UIP","$66,724","-68.9%","55","-","$1,213","$891,997","3"
"6","5","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$64,826","-58.1%","37","-4","$1,752","$505,733","2"
"7","6","Paranormal Activity 2","UIP","$48,425","-23.0%","15","-","$3,228","$129,288","2"
"8","8","Life as We Know It","WB","$31,376","-15.8%","16","+1","$1,961","$627,865","7"
"9","9","The Social Network","Sony","$30,592","-15.0%","16","-","$1,912","$1,103,102","8"
"10","7","Jackass 3-D","UIP","$30,197","-21.1%","9","-3","$3,355","$579,083","6"
"11","11","The Town","WB","$21,067","+5.5%","10","-1","$2,107","$1,084,003","10"
"12","10","Unstoppable","Fox","$17,698","-30.4%","10","-","$1,770","$258,386","5"
"13","12","Easy A","Sony","$3,721","-32.9%","2","-1","$1,861","$38,959","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Tangled","Disney","$312,205","-13.1%","48","-","$6,504","$1,467,320","3"
"2","4","Megamind","UIP","$214,583","+2.9%","55","-","$3,902","$810,690","2"
"3","3","Due Date","WB","$214,114","-16.1%","27","-","$7,930","$656,577","2"
"4","2","Harry Potter and the Deathly Hallows (Part One)","WB","$173,794","-43.3%","36","-","$4,828","$2,066,445","4"
"5","N","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$154,524","-","41","-","$3,769","$412,873","1"
"6","N","Paranormal Activity 2","UIP","$62,855","-","15","-","$4,190","$62,855","1"
"7","5","Jackass 3-D","UIP","$38,280","-37.7%","12","-1","$3,190","$538,319","5"
"8","6","Life as We Know It","WB","$37,244","+10.3%","15","+3","$2,483","$585,489","6"
"9","7","The Social Network","Sony","$36,002","+13.8%","16","-","$2,250","$1,059,624","7"
"10","9","Unstoppable","Fox","$25,421","+137.3%","10","-","$2,542","$232,342","4"
"11","8","The Town","WB","$19,977","-11.2%","11","-3","$1,816","$1,057,141","9"
"12","10","Easy A","Sony","$5,549","+0.9%","3","-","$1,850","$33,306","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Tangled","Disney","$359,393","+60.5%","48","-","$7,487","$620,543","2"
"2","1","Harry Potter and the Deathly Hallows (Part One)","WB","$306,715","-23.2%","36","-","$8,520","$1,630,050","3"
"3","N","Due Date","WB","$255,188","-","27","-","$9,451","$255,188","1"
"4","N","Megamind","UIP","$208,571","-","55","-","$3,792","$208,571","1"
"5","3","Jackass 3-D","UIP","$61,400","-27.1%","13","-1","$4,723","$475,643","4"
"6","4","Life as We Know It","WB","$33,766","-46.0%","12","-4","$2,814","$504,294","5"
"7","5","The Social Network","Sony","$31,648","-49.1%","16","-2","$1,978","$1,000,528","6"
"8","7","The Town","WB","$22,492","-52.4%","14","-2","$1,607","$1,022,384","8"
"9","6","Unstoppable","Fox","$10,711","-80.4%","10","-8","$1,071","$193,218","3"
"10","8","Easy A","Sony","$5,499","-57.6%","3","-","$1,833","$21,492","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Harry Potter and the Deathly Hallows (Part One)","WB","$399,285","-42.5%","36","-","$11,091","$1,261,117","2"
"2","N","Tangled","Disney","$223,987","-","48","-","$4,666","$223,987","1"
"3","3","Jackass 3-D","UIP","$84,211","-27.2%","14","-7","$6,015","$400,048","3"
"4","5","Life as We Know It","WB","$62,492","-22.4%","16","-2","$3,906","$457,268","4"
"5","2","The Social Network","Sony","$62,146","-47.4%","18","-2","$3,453","$949,240","5"
"6","4","Unstoppable","Fox","$54,665","-42.3%","18","-","$3,037","$171,634","2"
"7","6","The Town","WB","$47,257","-27.2%","16","-5","$2,954","$997,763","7"
"8","N","Easy A","Sony","$12,974","-","3","-","$4,325","$12,974","1"
"9","8","You Again","Disney","$11,525","-29.8%","9","-3","$1,281","$237,242","5"
"10","9","Eat Pray Love","Sony","$5,498","-60.1%","6","-3","$916","$1,466,614","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Harry Potter and the Deathly Hallows (Part One)","WB","$694,757","-","36","-","$19,299","$694,757","1"
"2","1","The Social Network","Sony","$118,106","-14.1%","20","-","$5,905","$854,337","4"
"3","2","Jackass 3-D","UIP","$115,637","-0.5%","21","-4","$5,507","$283,552","2"
"4","N","Unstoppable","Fox","$94,809","-","18","-","$5,267","$94,809","1"
"5","3","Life as We Know It","WB","$80,483","-26.8%","18","-","$4,471","$371,642","3"
"6","4","The Town","WB","$64,871","-24.4%","21","-1","$3,089","$927,800","6"
"7","7","Despicable Me","UIP","$16,774","-15.1%","16","-2","$1,048","$1,704,133","16"
"8","5","You Again","Disney","$16,419","-51.9%","12","-3","$1,368","$221,073","4"
"9","6","Eat Pray Love","Sony","$13,776","-34.0%","9","-6","$1,531","$1,456,096","9"
"10","10","Takers","Sony","$2,936","-53.4%","3","-","$979","$57,418","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Social Network","Sony","$137,443","-29.1%","20","-","$6,872","$661,958","3"
"2","N","Jackass 3-D","UIP","$116,245","-","25","-","$4,650","$116,245","1"
"3","2","Life as We Know It","WB","$109,870","+1.7%","18","-","$6,104","$253,748","2"
"4","3","The Town","WB","$85,814","-16.5%","22","-4","$3,901","$826,425","5"
"5","4","You Again","Disney","$34,123","-27.2%","15","-","$2,275","$192,992","3"
"6","5","Eat Pray Love","Sony","$20,870","-22.9%","15","-7","$1,391","$1,423,712","8"
"7","8","Despicable Me","UIP","$19,759","+30.9%","18","+4","$1,098","$1,682,835","15"
"8","6","Inception","WB","$18,752","-9.3%","10","-","$1,875","$3,669,899","17"
"9","7","Legend of the Guardians: The Owls of Ga'Hoole","WB","$16,213","-18.1%","15","-5","$1,081","$571,479","8"
"10","10","Takers","Sony","$6,302","-22.0%","3","-","$2,101","$51,428","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Social Network","Sony","$193,889","-8.7%","20","-","$9,694","$471,636","2"
"2","N","Life as We Know It","WB","$108,091","-","18","-","$6,005","$112,965","1"
"3","2","The Town","WB","$102,723","-23.1%","26","-1","$3,951","$713,197","4"
"4","3","You Again","Disney","$46,898","-38.1%","15","-","$3,127","$144,400","2"
"5","4","Eat Pray Love","Sony","$27,076","-29.1%","22","+3","$1,231","$1,390,660","7"
"6","5","Inception","WB","$20,665","-31.3%","10","-4","$2,067","$3,644,901","16"
"7","6","Legend of the Guardians: The Owls of Ga'Hoole","WB","$19,788","-26.1%","20","-","$989","$552,954","7"
"8","7","Despicable Me","UIP","$15,093","-21.0%","14","-2","$1,078","$1,661,207","14"
"9","8","The Other Guys","Sony","$10,787","-33.0%","8","-6","$1,348","$515,757","7"
"10","10","Takers","Sony","$8,080","+8.3%","3","-","$2,693","$43,785","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Social Network","Sony","$212,433","-","20","-","$10,622","$212,433","1"
"2","1","The Town","WB","$133,555","-15.9%","27","+6","$4,946","$572,883","3"
"3","N","You Again","Disney","$75,770","-","15","-","$5,051","$75,770","1"
"4","2","Eat Pray Love","Sony","$38,212","-32.8%","19","-3","$2,011","$1,347,549","6"
"5","3","Inception","WB","$30,063","-30.0%","14","-10","$2,147","$3,605,970","15"
"6","5","Legend of the Guardians: The Owls of Ga'Hoole","WB","$26,787","+11.1%","20","-3","$1,339","$528,940","6"
"7","8","Despicable Me","UIP","$19,098","+52.9%","16","+1","$1,194","$1,638,991","13"
"8","4","The Other Guys","Sony","$16,108","-43.8%","14","-5","$1,151","$501,208","6"
"9","6","Scott Pilgrim vs. the World","UIP","$13,570","-38.7%","16","+1","$848","$415,524","6"
"10","10","Takers","Sony","$7,458","-13.2%","3","-","$2,486","$34,590","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Town","WB","$158,884","+10.1%","21","+2","$7,566","$389,871","2"
"2","2","Eat Pray Love","Sony","$56,866","-27.0%","22","-1","$2,585","$1,286,464","5"
"3","3","Inception","WB","$42,928","-10.7%","24","-2","$1,789","$3,565,034","14"
"4","4","The Other Guys","Sony","$28,634","-22.2%","19","-1","$1,507","$478,176","5"
"5","6","Legend of the Guardians: The Owls of Ga'Hoole","WB","$24,104","-11.4%","23","-1","$1,048","$498,291","5"
"6","5","Scott Pilgrim vs. the World","UIP","$22,150","-30.7%","15","-3","$1,477","$396,273","5"
"7","7","Wall Street: Money Never Sleeps","Fox","$17,541","-33.1%","18","-1","$975","$290,125","4"
"8","9","Despicable Me","UIP","$12,493","-7.9%","15","-4","$833","$1,618,407","12"
"9","8","Going the Distance","WB","$9,163","-38.3%","8","-4","$1,145","$449,949","7"
"10","10","Takers","Sony","$8,591","-31.9%","3","-","$2,864","$25,130","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Town","WB","$144,333","-","19","-","$7,596","$187,434","1"
"2","1","Eat Pray Love","Sony","$77,847","-34.1%","23","-","$3,385","$1,198,466","4"
"3","3","Inception","WB","$48,073","-18.2%","26","+5","$1,849","$3,504,727","13"
"4","2","The Other Guys","Sony","$36,792","-40.7%","20","-","$1,840","$440,649","4"
"5","5","Scott Pilgrim vs. the World","UIP","$31,972","-30.8%","18","-","$1,776","$366,230","4"
"6","6","Legend of the Guardians: The Owls of Ga'Hoole","WB","$27,206","+9.6%","24","-1","$1,134","$468,202","4"
"7","4","Wall Street: Money Never Sleeps","Fox","$26,227","-51.6%","19","-","$1,380","$264,027","3"
"8","7","Going the Distance","WB","$14,851","-40.0%","12","-4","$1,238","$436,007","6"
"9","8","Despicable Me","UIP","$13,569","-10.9%","19","+1","$714","$1,603,108","11"
"10","N","Takers","Sony","$12,621","-","3","-","$4,207","$12,621","1"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$118,042","-47.3%","23","-","$5,132","$1,074,241","3"
"2","3","The Other Guys","Sony","$62,082","-37.3%","20","-","$3,104","$383,530","3"
"3","5","Inception","WB","$58,739","-37.3%","21","-1","$2,797","$3,434,050","12"
"4","2","Wall Street: Money Never Sleeps","Fox","$54,158","-60.5%","19","-","$2,850","$221,096","2"
"5","6","Scott Pilgrim vs. the World","UIP","$46,186","-36.7%","18","-","$2,566","$319,417","3"
"6","4","Legend of the Guardians: The Owls of Ga'Hoole","WB","$24,815","-74.5%","25","-23","$993","$436,297","3"
"7","7","Going the Distance","WB","$24,731","-48.7%","16","-","$1,546","$411,245","5"
"8","9","Despicable Me","UIP","$15,221","-56.9%","18","-5","$846","$1,586,714","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$224,010","-36.6%","23","-","$9,740","$894,062","2"
"2","N","Wall Street: Money Never Sleeps","Fox","$137,072","-","19","-","$7,214","$137,072","1"
"3","3","The Other Guys","Sony","$99,007","-22.2%","20","-","$4,950","$296,891","2"
"4","2","Legend of the Guardians: The Owls of Ga'Hoole","WB","$97,202","-36.5%","48","-","$2,025","$402,343","2"
